Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
"Lindner Hotel Bratislava, part of JdV by Hyatt","Ruzinov, Bratislava",Chambre Lit King-Size,1 très grand lit double,"8,8",2 052 expériences vécues,"1 nuit, 1 adulte",,€ 107
NH Bratislava Gate One,"Ruzinov, Bratislava",Chambre Double ou Lits Jumeaux Standard avec Lit d'Appoint (2 Adultes + 1 Enfant),Plusieurs types de lits,"8,5",2 442 expériences vécues,"1 nuit, 1 adulte",,€ 122
Vienna House Easy by Wyndham Bratislava,"Ruzinov, Bratislava",Chambre Confort Plus,1 lit double,"8,0",1 355 expériences vécues,"1 nuit, 1 adulte",,€ 90
Downtown Bratislava B&B,"Staré Mesto, Bratislava",Chambre Triple Standard,"2 lits (1 lit simple, 1 grand lit double)","8,2",2 173 expériences vécues,"1 nuit, 1 adulte",,€ 127€ 117-8 %
Hotel Devín,"Staré Mesto, Bratislava",Chambre Double ou Lits Jumeaux Standard,Plusieurs types de lits,"8,7",1 851 expériences vécues,"1 nuit, 1 adulte",,€ 164€ 129-21 %
DoubleTree by Hilton Bratislava,"Ruzinov, Bratislava",Chambre Lit King-Size,1 grand lit double,"8,4",1 143 expériences vécues,"1 nuit, 1 adulte",,€ 121
Hotel Max Inn,Bratislava,Chambre Simple Deluxe,1 lit simple,"8,8",1 349 expériences vécues,"1 nuit, 1 adulte",,€ 75€ 70-7 %
Hotel Blue Bratislava,"Nove Mesto, Bratislava",Chambre Double Standard,1 très grand lit double,"8,0",1 115 expériences vécues,"1 nuit, 1 adulte",,€ 93
Hotel Arcus Garden,"Staré Mesto, Bratislava",Chambre Simple,1 lit simple,"8,8",1 311 expériences vécues,"1 nuit, 1 adulte",,€ 103€ 82-21 %
Rusovský Penzión,Bratislava,Chambre Simple,1 lit simple,"8,3",1 050 expériences vécues,"1 nuit, 1 adulte",,€ 67€ 53-21 %
PREMIUM Business Hotel Bratislava,"Ruzinov, Bratislava",Chambre Simple Confort,1 grand lit double,"8,5",2 580 expériences vécues,"1 nuit, 1 adulte",,€ 113€ 104-8 %
Apollo Hotel Bratislava,"Ruzinov, Bratislava",Chambre Double ou Lits Jumeaux Confort (Entrée Grotte de Sel Incluse),Types de lits : 1 lit double ou 2 lits simples,"8,4",10 897 expériences vécues,"1 nuit, 1 adulte",,€ 139€ 128-8 %
"Grand Hotel River Park, a Luxury Collection Hotel, Bratislava","Staré Mesto, Bratislava",Chambre 1 Lit King-Size - Vue sur Colline du Château,1 très grand lit double,"8,9",858 expériences vécues,"1 nuit, 1 adulte",,€ 184
Luxury Garni Hotel Brix,"Nove Mesto, Bratislava",Chambre Double ou Lits Jumeaux (1 Adulte),1 très grand lit double,"8,6",1 209 expériences vécues,"1 nuit, 1 adulte",,€ 76
Penzion Gremium,"Staré Mesto, Bratislava",Suite,"2 lits (1 très grand lit double, 1 canapé-lit)","7,2",632 expériences vécues,"1 nuit, 1 adulte",,€ 63
Penzion Portus,"Staré Mesto, Bratislava",Chambre Lits Jumeaux Standard,Hébergement géré par un particulier,"7,5",121 expériences vécues,"1 nuit, 1 adulte",,€ 78€ 72-8 %
BNC Hotel - Restaurant - Bowling,"Nove Mesto, Bratislava",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,3",1 568 expériences vécues,"1 nuit, 1 adulte",,€ 81
Apollo Apartment - Key-Box - Free Parking,"Ruzinov, Bratislava",Appartement 2 Chambres,"7 lits (2 lits simples, 4 canapés-lits, 1 grand lit double)","8,8",63 expériences vécues,"1 nuit, 1 adulte",,€ 300€ 280-7 %
Aapartamentoos,"Staré Mesto, Bratislava",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","8,1",1 061 expériences vécues,"1 nuit, 1 adulte",,€ 125
Imet Centrum,"Dubravka, Bratislava",Chambre Lits Jumeaux,2 lits simples,"8,3",326 expériences vécues,"1 nuit, 1 adulte",,€ 58€ 54-8 %
Dolce Vita,"Staré Mesto, Bratislava",Chambre Double Deluxe,1 grand lit double,"5,2",1 534 expériences vécues,"1 nuit, 1 adulte",,€ 64
Hotel Galeria pre sebarozvoj s ubytovaním Motýlí dom,"Nove Mesto, Bratislava",Chambre Double Standard,1 lit double,"6,2",1 524 expériences vécues,"1 nuit, 1 adulte",,€ 44
Apartmány Bratislava,"Staré Mesto, Bratislava",Appartement Soltesovej 2,Hébergement géré par un particulier,"6,1",277 expériences vécues,"1 nuit, 1 adulte",,€ 41€ 38-7 %
