Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
F1 Track SEA VIEW HOTEL APARTMENT SAHIL RESIDANCE,"Sabayil , Baku",Appartement - Vue sur Mer,"3 lits (2 très grands lits doubles, 1 canapé-lit)","8,2",5 expériences vécues,"1 nuit, 1 adulte",,€ 69€ 58-15 %
Castello Inn Baku,"Sabayil , Baku",Chambre Double Économique,1 grand lit double,"7,9",144 expériences vécues,"1 nuit, 1 adulte",,€ 30€ 27-10 %
Modern Hotel Baku,Baku,Chambre Double ou Lits Jumeaux,Plusieurs types de lits,"8,5",1 005 expériences vécues,"1 nuit, 1 adulte",,€ 37
Shirvanshah Hotel,"Sabayil , Baku",Chambre Simple Standard,1 lit simple,"8,5",421 expériences vécues,"1 nuit, 1 adulte",,€ 93
Promenade Hotel Baku,"Sabayil , Baku",Chambre Double Économique - Sans Fenêtre ,1 grand lit double,"8,3",1 270 expériences vécues,"1 nuit, 1 adulte",,€ 68€ 63-7 %
Sunday Hotel Baku,"Sabayil , Baku",Chambre Simple Standard,1 lit simple,"7,9",262 expériences vécues,"1 nuit, 1 adulte",,€ 55€ 44-20 %
Iris Hotel Baku - Halal Hotel,"Nasimi, Baku",Suite Junior,"2 lits (1 lit double, 1 canapé-lit)","8,5",121 expériences vécues,"1 nuit, 1 adulte",,€ 65
Passaje Old,"Yasamal , Baku",Chambre Double Deluxe,1 grand lit double,10,23 expériences vécues,"1 nuit, 1 adulte",,€ 96€ 77-20 %
Liman Hotel Baku,"Sabayil , Baku",Chambre Lit King-Size Standard,1 grand lit double,"8,5",310 expériences vécues,"1 nuit, 1 adulte",,€ 44€ 27-40 %
Da Vinci Hotel,"Sabayil , Baku",Chambre Double Standard,1 très grand lit double,"8,9",186 expériences vécues,"1 nuit, 1 adulte",,€ 60
Premier Old Gates Hotel,"Sabayil , Baku",Chambre Double Standard,1 grand lit double,"8,3",143 expériences vécues,"1 nuit, 1 adulte",,€ 89€ 71-20 %
Hotel Square Inn,"Sabayil , Baku",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,2",590 expériences vécues,"1 nuit, 1 adulte",,€ 53
Port Hotel Baku,"Sabayil , Baku",Chambre Simple Standard,1 lit simple,"7,9",66 expériences vécues,"1 nuit, 1 adulte",,€ 43
ATFK Hotel Baku,Baku,Chambre Simple Basique,"2 lits (1 lit simple, 1 lit superposé)","7,3",222 expériences vécues,"1 nuit, 1 adulte",,€ 13
Cth-Baku-Hostel,"Yasamal , Baku",Petite Chambre Simple,1 lit simple,"9,3",164 expériences vécues,"1 nuit, 1 adulte",,€ 15
Access Hotel Downtown,"Nasimi, Baku",Chambre Familiale avec Salle de Bains,"2 lits (1 lit simple, 1 très grand lit double)","7,6",10 expériences vécues,"1 nuit, 1 adulte",,€ 33
