Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Apartments with private spa,"Centre de Riga, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",2 expériences vécues,"1 nuit, 1 adulte",,€ 91
6 can stay. Park in front of the house. Free parking behind the fence. Self check in/out.,"Latgales priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"7,5",99 expériences vécues,"1 nuit, 1 adulte",,€ 54
"Brivibas Residence - Wave, free parking, self check-in","Vidzemes priekšpilsēta, Riga",Appartement 2 Chambres,2 lits doubles,"9,7",30 expériences vécues,"1 nuit, 1 adulte",,€ 99
"Library House ""Bibliotekas nams"" - Apartment with Park View","Centre de Riga, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",71 expériences vécues,"1 nuit, 1 adulte",,€ 107
Akropole Apartment,"Latgales priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",10 expériences vécues,"1 nuit, 1 adulte",,€ 51
KART APART,"Zemgales priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"8,1",8 expériences vécues,"1 nuit, 1 adulte",,€ 43
Red Nose roof-top apartment,"Centre de Riga, Riga",Appartement 2 Chambres,"3 lits (1 canapé-lit, 2 grands lits doubles)","8,1",81 expériences vécues,"1 nuit, 1 adulte",,€ 104
Old town 5 min. 4 can stay! Free parking. Self check in/out.,"Zemgales priekšpilsēta, Riga",Appartement,Hébergement géré par un particulier,"5,8",103 expériences vécues,"1 nuit, 1 adulte",,€ 52
Cat Garden Superior Apartments Riga,"Vidzemes priekšpilsēta, Riga",Appartement Supérieur,"4 lits (1 lit double, 2 canapés-lits, 1 grand lit double)","8,4",91 expériences vécues,"1 nuit, 1 adulte",,€ 71
Airport free pick up INN,"Zemgales priekšpilsēta, Riga",Studio,Hébergement géré par un particulier,"8,7",15 expériences vécues,"1 nuit, 1 adulte",,€ 81
NEW! Cozy studio for Two near Park and Old Town,"Centre de Riga, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,5",2 expériences vécues,"1 nuit, 1 adulte",,€ 69
Leonardo Studio Apartments In City Center,"Vidzemes priekšpilsēta, Riga",Appartement 1 Chambre,1 lit double,"9,4",40 expériences vécues,"1 nuit, 1 adulte",,€ 89
HomeArt,"Ziemelu, Riga",Chambre Double,Hébergement géré par un particulier,"9,3",27 expériences vécues,"1 nuit, 1 adulte",,€ 82
Gogol Park,"Latgales priekšpilsēta, Riga",Chambre Lits Jumeaux avec Salle de Bains Commune,2 lits simples,"7,8",175 expériences vécues,"1 nuit, 1 adulte",,€ 30
Krasta Home apartament Free Parking With CITY & RIVER VIEW,"Latgales priekšpilsēta, Riga",Studio Deluxe,Hébergement géré par un particulier,"9,6",19 expériences vécues,"1 nuit, 1 adulte",,€ 72
AveSol Apartment,"Centre de Riga, Riga",Appartement,Hébergement géré par un particulier,"8,9",162 expériences vécues,"1 nuit, 1 adulte",,€ 84
Sanny 1 bedroom apartment in Centre of Riga,"Centre de Riga, Riga",Appartement 1 Chambre,1 très grand lit double,"8,1",41 expériences vécues,"1 nuit, 1 adulte",,"€ 79€ 56
-29 %"
Old Riga Aldaru Street Historic One Bedroom Apartment,"Centre de Riga, Riga",Appartement,1 grand lit double,"5,2",5 expériences vécues,"1 nuit, 1 adulte",,€ 111
Friends hostel,"Centre de Riga, Riga",Lit dans Dortoir Mixte de 10 Lits,1 lit simple,"5,6",5 expériences vécues,"1 nuit, 1 adulte",,€ 10
Ideal for family and older pers.,"Ziemelu, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"7,0",34 expériences vécues,"1 nuit, 1 adulte",,€ 56
Čaka Street Royal Apartment 42,"Latgales priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",4 expériences vécues,"1 nuit, 1 adulte",,€ 82
Artsy central flat,"Centre de Riga, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",7 expériences vécues,"1 nuit, 1 adulte",,€ 47
Boutique Elizabeth apartment,"Centre de Riga, Riga",Appartement Deluxe,Hébergement géré par un particulier,"8,0",27 expériences vécues,"1 nuit, 1 adulte",,€ 86
Excelent apartment with garden and free parking,"Kurzemes priekšpilsēta, Riga",Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",57 expériences vécues,"1 nuit, 1 adulte",,€ 51
