Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Apartments Athos,Podgorica,Appartement 1 Chambre Premier,1 lit double,"9,1",607 expériences vécues,"1 nuit, 1 adulte",,€ 62€ 58-6 %
Sweet Dream Rooms,Podgorica,Appartement,1 lit double,"7,9",561 expériences vécues,"1 nuit, 1 adulte",,€ 27
Hostel Q,Podgorica,Lit Simple dans Dortoir Mixte,1 lit superposé,"9,5",556 expériences vécues,"1 nuit, 1 adulte",,€ 16
Airport home Radinovic,Podgorica,Grande Chambre Double ,Hébergement géré par un particulier,"9,2",866 expériences vécues,"1 nuit, 1 adulte",,€ 26
Hotel BaMBiS,Podgorica,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,5",216 expériences vécues,"1 nuit, 1 adulte",,€ 45€ 42-6 %
SIGNUM Hotel,Podgorica,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"9,4",349 expériences vécues,"1 nuit, 1 adulte",,€ 124€ 116-6 %
Apartments F,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,3",703 expériences vécues,"1 nuit, 1 adulte",,€ 31€ 28-10 %
Apartment Heart of Podgorica,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,5",60 expériences vécues,"1 nuit, 1 adulte",,€ 51
Hotel Lazaro,Podgorica,Chambre Simple Deluxe,1 lit simple,"9,1",400 expériences vécues,"1 nuit, 1 adulte",,€ 78€ 73-6 %
Apartments OldTown,Podgorica,Chambre Double 1,Hébergement géré par un particulier,"7,2",250 expériences vécues,"1 nuit, 1 adulte",,€ 63€ 54-15 %
Thousand Roses,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,4",14 expériences vécues,"1 nuit, 1 adulte",,€ 70
Irina apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,6",41 expériences vécues,"1 nuit, 1 adulte",,€ 49
Viara apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"6,2",10 expériences vécues,"1 nuit, 1 adulte",,€ 60
Morana apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,4",11 expériences vécues,"1 nuit, 1 adulte",,€ 60
One bedroom Centre apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,2",48 expériences vécues,"1 nuit, 1 adulte",,€ 46
Victoria apartment City kvart,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,7",13 expériences vécues,"1 nuit, 1 adulte",,€ 50
Clarissa apartment City Kvart,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,8",48 expériences vécues,"1 nuit, 1 adulte",,€ 46
Regina apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,9",39 expériences vécues,"1 nuit, 1 adulte",,€ 60
City Star - City Kvart,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,3",64 expériences vécues,"1 nuit, 1 adulte",,€ 63
2 bedroom Centre apartment,Podgorica,Appartement 2 Chambres,Hébergement géré par un particulier,"7,7",87 expériences vécues,"1 nuit, 1 adulte",,€ 63
Kazablanka Rooms Aerodrom,Podgorica,Chambre Double ou Lits Jumeaux Économique,2 lits simples,"8,5",287 expériences vécues,"1 nuit, 1 adulte",,€ 21
Top-Top,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,4",309 expériences vécues,"1 nuit, 1 adulte",,€ 37
Apartments Airport Golubovci,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,2",18 expériences vécues,"1 nuit, 1 adulte",,€ 28
Large apartment,Podgorica,Appartement 3 Chambres,Hébergement géré par un particulier,"6,3",7 expériences vécues,"1 nuit, 1 adulte",,€ 130
Oscar,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,9",28 expériences vécues,"1 nuit, 1 adulte",,€ 48
House of peace,Podgorica,Appartement avec Terrasse,Hébergement géré par un particulier,"9,4",75 expériences vécues,"1 nuit, 1 adulte",,€ 36
Apartman VT Central point,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,7",17 expériences vécues,"1 nuit, 1 adulte",,€ 66
KENZA jednosobni stanovi,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,7",14 expériences vécues,"1 nuit, 1 adulte",,€ 128€ 119-6 %
Apartman Boljević,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,8",114 expériences vécues,"1 nuit, 1 adulte",,€ 36
Home Mia 2 bedroom apartment,Podgorica,Appartement 2 Chambres,Hébergement géré par un particulier,"9,8",138 expériences vécues,"1 nuit, 1 adulte",,€ 46
Blue Apartment Riverside,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,7",48 expériences vécues,"1 nuit, 1 adulte",,€ 65
Aria Apartmani,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",314 expériences vécues,"1 nuit, 1 adulte",,€ 50
Harmony Apartments,Podgorica,Appartement Deluxe,Hébergement géré par un particulier,"9,6",87 expériences vécues,"1 nuit, 1 adulte",,€ 62
Apartment Mona,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,8",144 expériences vécues,"1 nuit, 1 adulte",,€ 44
NAKI Apartmani Podgorica,Podgorica,Studio avec Vue sur Jardin,Hébergement géré par un particulier,"8,1",180 expériences vécues,"1 nuit, 1 adulte",,€ 36
