Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Old Town House on Asatiani,"Old Tbilisi, Tbilissi",Appartement - Rez-de-Chaussée,"2 lits (1 lit double, 1 canapé-lit)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 41
Telescope Apartments - Feel At Home Space with great View,"Chugureti, Tbilissi",Chambre Triple avec Salle de Bains Privative,"2 lits (1 canapé-lit, 1 grand lit double)","8,8",54 expériences vécues,"1 nuit, 1 adulte",,€ 40
Guest House Teo,"Chugureti, Tbilissi",Suite,Hébergement géré par un particulier,"9,3",50 expériences vécues,"1 nuit, 1 adulte",,€ 28
Tamuna apartment,"Old Tbilisi, Tbilissi",Appartement 1 Chambre,"3 lits (1 très grand lit double, 2 canapés-lits)","9,6",62 expériences vécues,"1 nuit, 1 adulte",,€ 48
old garden,"Old Tbilisi, Tbilissi",Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",12 expériences vécues,"1 nuit, 1 adulte",,€ 24
cozy apartment,"Old Tbilisi, Tbilissi",Appartement 1 Chambre,Hébergement géré par un particulier,"8,2",46 expériences vécues,"1 nuit, 1 adulte",,€ 33€ 23-31 %
Modern dreamy house,Tbilissi,Appartement 2 Chambres,Hébergement géré par un particulier,"9,8",6 expériences vécues,"1 nuit, 1 adulte",,€ 129€ 104-20 %
Woodmood Hostel,"Chugureti, Tbilissi",Lit dans Dortoir Mixte de 10 Lits,1 lit superposé,"8,9",143 expériences vécues,"1 nuit, 1 adulte",,€ 13
Panorama of Tbilisi,Tbilissi,Chambre Lits Jumeaux avec Salle de Bains,Hébergement géré par un particulier,"9,7",34 expériences vécues,"1 nuit, 1 adulte",,€ 31€ 25-20 %
Sololaki 7 Guest House,"Old Tbilisi, Tbilissi",Chambre Quadruple,Hébergement géré par un particulier,"7,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 45
Cozy Apartment In Real Heart Of Old Tbilisi,"Old Tbilisi, Tbilissi",Appartement avec Balcon,Hébergement géré par un particulier,"9,7",60 expériences vécues,"1 nuit, 1 adulte",,€ 50
Omart Hotel - Gallery,"Old Tbilisi, Tbilissi",Deluxe Double or Twin Room with Mountain View&Balcony,Types de lits : 1 lit double ou 2 lits simples,"9,8",133 expériences vécues,"1 nuit, 1 adulte",,€ 85€ 58-31 %
Vermont Boutique Hotel,"Chugureti, Tbilissi",Chambre Double Économique,1 grand lit double,10,2 expériences vécues,"1 nuit, 1 adulte",,€ 68
Appartament Home Plus,"Old Tbilisi, Tbilissi",Chambre Quadruple Confort,Hébergement géré par un particulier,"8,9",38 expériences vécues,"1 nuit, 1 adulte",,€ 34
Sheni Hostel,"Old Tbilisi, Tbilissi",Lit dans Dortoir pour Femmes de 4 Lits,1 lit superposé,"7,9",402 expériences vécues,"1 nuit, 1 adulte",,€ 4
Dream Sky Hotel,"Saburtalo, Tbilissi",Chambre 2 Lits King-Size,Hébergement géré par un particulier,"8,2",24 expériences vécues,"1 nuit, 1 adulte",,€ 52
Guest House Zatika,"Old Tbilisi, Tbilissi",Appartement avec Balcon,"3 lits (2 lits simples, 1 canapé-lit)","8,9",73 expériences vécues,"1 nuit, 1 adulte",,€ 35
New apartment with amazing views in Old Tbilisi,"Old Tbilisi, Tbilissi",Appartement en Duplex,Hébergement géré par un particulier,"9,6",55 expériences vécues,"1 nuit, 1 adulte",,€ 117
Gast Haus BAVARIA,Tbilissi,Appartement avec Vue sur la Montagne,Hébergement géré par un particulier,10,3 expériences vécues,"1 nuit, 1 adulte",,€ 38
Apartment in Tbilisi “Green Budapest “,"Saburtalo, Tbilissi",Chambre Double Standard,Hébergement géré par un particulier,"9,4",102 expériences vécues,"1 nuit, 1 adulte",,€ 48
AnNi old Tbilisi apartaments,"Old Tbilisi, Tbilissi",Appartement 2 Chambres,Hébergement géré par un particulier,"9,9",22 expériences vécues,"1 nuit, 1 adulte",,€ 22
Green Corner,"Chugureti, Tbilissi",Appartement Standard,Hébergement géré par un particulier,"9,5",58 expériences vécues,"1 nuit, 1 adulte",,€ 30
Cozy Apartments In Old Tbilisi,"Old Tbilisi, Tbilissi",Appartement - Rez-de-Chaussée,"2 lits (1 lit double, 1 canapé-lit)","8,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 21
Sweet Home Agmashenebeli,"Chugureti, Tbilissi",Appartement,Hébergement géré par un particulier,"8,4",54 expériences vécues,"1 nuit, 1 adulte",,€ 32
Hostel 17 Only for men,"Chugureti, Tbilissi",Lit dans Dortoir de 8 Lits ,1 lit superposé,"7,5",243 expériences vécues,"1 nuit, 1 adulte",,€ 6
Art Apartment,"Old Tbilisi, Tbilissi",Appartement,"3 lits (1 lit simple, 1 lit double, 1 canapé-lit)","9,1",17 expériences vécues,"1 nuit, 1 adulte",,€ 48
Vere Corner Hotel,"Vera, Tbilissi",Chambre Double Économique,1 lit double,"9,4",70 expériences vécues,"1 nuit, 1 adulte",,€ 40
Apartment Near Church,"Chugureti, Tbilissi",Appartement 2 Chambres,Hébergement géré par un particulier,"9,7",30 expériences vécues,"1 nuit, 1 adulte",,€ 39
Shatell,Tbilissi,Chambre Lits Jumeaux avec Balcon,2 lits simples,"7,4",66 expériences vécues,"1 nuit, 1 adulte",,€ 24
