Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Ilissos,"Koukaki, Athènes",Chambre Simple,1 lit simple,"8,2",1 102 expériences vécues,"1 nuit, 1 adulte",,€ 62
Golden Age Athens Hotel,"Ilisia, Athènes",Hébergement Double ou Lits Jumeaux Urban Chic ,Types de lits : 1 lit double ou 2 lits simples,"8,9",1 284 expériences vécues,"1 nuit, 1 adulte",,€ 128
Athens Market Portrait,"Psyrí, Athènes",Chambre Simple Vignette,1 lit simple,"8,8",1 453 expériences vécues,"1 nuit, 1 adulte",,"€ 82€ 57
-30 %"
Heritage Hill Hotel,Athènes,Chambre Classique,1 grand lit double,"8,9",1 686 expériences vécues,"1 nuit, 1 adulte",,"€ 243€ 123
-49 %"
Athens Way,"Athens City Centre, Athènes",Chambre Double Standard,1 grand lit double,"8,0",563 expériences vécues,"1 nuit, 1 adulte",,"€ 96€ 77
-20 %"
Royal Olympic Hotel,"Athens City Centre, Athènes",Chambre Simple Interne,1 lit simple,"7,4",2 468 expériences vécues,"1 nuit, 1 adulte",,€ 116
Candia Hotel,Athènes,Chambre Standard,2 lits simples,"7,4",900 expériences vécues,"1 nuit, 1 adulte",,€ 57
Pella Inn Hostel,"Psyrí, Athènes",Lit Superposé dans Dortoir Mixte,1 lit superposé,"8,0",2 799 expériences vécues,"1 nuit, 1 adulte",,"€ 20€ 17
-15 %"
Hotel Byron,"Pláka, Athènes",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,2",1 848 expériences vécues,"1 nuit, 1 adulte",,€ 59
Evripides Hotel,"Psyrí, Athènes",Chambre Double ou Lits Jumeaux Supérieure,Types de lits : 1 lit double ou 2 lits simples,"8,5",3 884 expériences vécues,"1 nuit, 1 adulte",,€ 81
ATHENS COMMERCIAL,"Syntagma, Athènes",Chambre Double Économique,1 lit double,"6,9",1 180 expériences vécues,"1 nuit, 1 adulte",,€ 33
Cityzoe Athens Suites,"Pláka, Athènes",Suite Deluxe avec Lit King-Size,"2 lits (1 lit simple, 1 grand lit double)","9,2",654 expériences vécues,"1 nuit, 1 adulte",,€ 105
Poseidon Athens Hotel,"Paleó Fáliro, Athènes",Chambre Simple,1 lit simple,"8,4",2 814 expériences vécues,"1 nuit, 1 adulte",,€ 84
Alassia Hotel,"Athens City Centre, Athènes",Chambre Simple,1 lit double,"6,8",767 expériences vécues,"1 nuit, 1 adulte",,€ 51
Apollo Hotel,"Metaxourgeío, Athènes",Chambre Simple,1 lit double,"7,7",1 508 expériences vécues,"1 nuit, 1 adulte",,€ 40
Beautiful City Suites,"Pláka, Athènes",Chambre Double Deluxe avec Balcon,1 grand lit double,"8,6",533 expériences vécues,"1 nuit, 1 adulte",,"€ 122€ 112
-8 %"
Cottage Boutique Apartments Athens,"Athens City Centre, Athènes",Chambre Lit King-Size Deluxe,1 grand lit double,"9,5",111 expériences vécues,"1 nuit, 1 adulte",,"€ 104€ 72
-30 %"
Athens Tower Hotel by Palladian Hotels,"Monastiráki, Athènes",Chambre Double Deluxe,"2 lits (1 canapé-lit, 1 grand lit double)","8,0",585 expériences vécues,"1 nuit, 1 adulte",,€ 119
Iasonos Suites Athens,"Metaxourgeío, Athènes",Chambre Double Supérieure,1 lit double,"8,6",701 expériences vécues,"1 nuit, 1 adulte",,€ 61
