Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Jugendgästehaus Brigittenau &Brigittenau Youth Palace,"20. Brigittenau, Vienne",Lit dans Dortoir pour Hommes de 4 Lits,1 lit superposé,"7,8",3 076 expériences vécues,"1 nuit, 1 adulte",,€ 27
Senator Hotel Vienna,"17e Hernals, Vienne",Chambre City Garden,Types de lits : 1 lit double ou 2 lits simples,"8,1",3 549 expériences vécues,"1 nuit, 1 adulte",,€ 121
B&B Hotel Wien-Stadthalle,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Double,1 grand lit double,"8,6",4 287 expériences vécues,"1 nuit, 1 adulte",,€ 149€ 127-15 %
"Holiday Inn - Vienna - South, an IHG Hotel","10. Favoriten, Vienne",Chambre Lit Queen-Size - Non-Fumeurs,1 grand lit double,"8,4",2 580 expériences vécues,"1 nuit, 1 adulte",,€ 123
Space Home Apartment - City Center,"02. Leopoldstadt, Vienne",Chambre Simple,1 lit simple,"8,1",1 005 expériences vécues,"1 nuit, 1 adulte",,€ 45
Hotel City Residence,"09. Alsergrund, Vienne",Chambre Simple,1 lit simple,"7,3",3 349 expériences vécues,"1 nuit, 1 adulte",,€ 110
Best Western Plus Hotel Arcadia,"02. Leopoldstadt, Vienne",Chambre Simple Classique,1 lit simple,"8,0",2 690 expériences vécues,"1 nuit, 1 adulte",,€ 159
Rioca Vienna Posto 2,"03. Landstraße, Vienne",Chambre Double avec Balcon,1 grand lit double,"8,9",5 924 expériences vécues,"1 nuit, 1 adulte",,€ 196€ 167-15 %
Gartenhotel Altmannsdorf,"12. Meidling, Vienne",Chambre Double - Accessible aux Personnes à Mobilité Réduite ,1 grand lit double,"8,4",2 859 expériences vécues,"1 nuit, 1 adulte",,€ 160
Hahn Hotel Vienna,"11. Simmering, Vienne",Chambre Classique,2 lits simples,"7,7",408 expériences vécues,"1 nuit, 1 adulte",,€ 110
Pension Vera,"09. Alsergrund, Vienne",Chambre Simple,1 lit simple,"7,1",1 221 expériences vécues,"1 nuit, 1 adulte",,€ 92
easybook-in,"15. Rudolfsheim-Fünfhaus, Vienne",Chambre Double Standard avec Salle de Bains Commune,1 grand lit double,"5,1",160 expériences vécues,"1 nuit, 1 adulte",,€ 51
PLAZA Premium Wien,"10. Favoriten, Vienne",Chambre Double Standard,"2 lits (1 lit double, 1 canapé-lit)","8,2",3 313 expériences vécues,"1 nuit, 1 adulte",,€ 169
Jugendherberge Wien - Myrthengasse,"07. Neubau, Vienne",Lit Superposé dans Dortoir pour Femmes de 4-6 Lits avec Salle de Bains Commune,1 lit superposé,"8,0",3 373 expériences vécues,"1 nuit, 1 adulte",,€ 27
