Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Esplanade Zagreb Hotel,"Lower Town, Zagreb",Chambre Supérieure Lit Queen-Size,1 lit double,"9,0",3 489 expériences vécues,"1 nuit, 1 adulte",,€ 161
Hotel Antunovic Zagreb,Zagreb,Hébergement Simple Supérieur,1 très grand lit double,"9,0",1 392 expériences vécues,"1 nuit, 1 adulte",,€ 110
Apartments Simple Teslina,"Lower Town, Zagreb",Studio Standard,1 lit double,"8,7",404 expériences vécues,"1 nuit, 1 adulte",,€ 62
Hotel Novi Zagreb,"Novi Zagreb, Zagreb",Chambre Double Standard,1 lit double,"6,6",1 255 expériences vécues,"1 nuit, 1 adulte",,€ 70
A8 b&b,"Lower Town, Zagreb",Chambre Double,1 lit double,"9,3",596 expériences vécues,"1 nuit, 1 adulte",,€ 92
At queens,"Lower Town, Zagreb",Appartement Deluxe,Hébergement géré par un particulier,"8,9",1 202 expériences vécues,"1 nuit, 1 adulte",,€ 57
Swanky Mint hostel,"Lower Town, Zagreb",Lit Superposé dans Dortoir de 11 Lits,1 lit superposé,"8,5",2 091 expériences vécues,"1 nuit, 1 adulte",,€ 29
Casablanca Boutique Bed&Breakfast,"Lower Town, Zagreb",Chambre Double,1 grand lit double,"9,1",1 463 expériences vécues,"1 nuit, 1 adulte",,€ 102
Apartments Lina - Center with free parking!,"Lower Town, Zagreb",Appartement Confort 1 Chambre,Hébergement géré par un particulier,"8,4",451 expériences vécues,"1 nuit, 1 adulte",,€ 90
Grand Bells Bed And Breakfast,"Upper Town – Medvescak, Zagreb",Chambre Double Standard,1 lit double,"8,7",1 413 expériences vécues,"1 nuit, 1 adulte",,€ 80
Best Western Airport Hotel Stella,"Novi Zagreb, Zagreb",Chambre Simple Classique,1 lit simple,"8,8",2 884 expériences vécues,"1 nuit, 1 adulte",,€ 78
WOODY - Your Sleep Oasis in Zagreb,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"9,1",174 expériences vécues,"1 nuit, 1 adulte",,€ 55
Hotel Laguna Zagreb,Zagreb,Chambre Double Économique,1 grand lit double,"6,4",1 512 expériences vécues,"1 nuit, 1 adulte",,€ 59
Chillout Hostel Zagreb,"Lower Town, Zagreb",Lit Simple dans Dortoir à 6 Lits,1 lit superposé,"8,4",1 687 expériences vécues,"1 nuit, 1 adulte",,€ 24
MKR Family Room,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"8,7",383 expériences vécues,"1 nuit, 1 adulte",,€ 60
BISHNU HOSTEL,"Lower Town, Zagreb",Lit dans Dortoir Mixte de 8 Lits ,1 lit simple,"7,9",274 expériences vécues,"1 nuit, 1 adulte",,€ 18
MANDA Heritage Hotel,"Lower Town, Zagreb",Chambre Lits Jumeaux Standard,2 lits simples,"9,2",2 024 expériences vécues,"1 nuit, 1 adulte",,€ 131
Bed & Breakfast Sky City Center,"Lower Town, Zagreb",Chambre Double – Vue sur Ville,1 grand lit double,"9,5",1 314 expériences vécues,"1 nuit, 1 adulte",,€ 107
Apartments Cilindar,"Upper Town – Medvescak, Zagreb",Studio Deluxe,"3 lits (1 canapé-lit, 2 grands lits doubles)","8,2",294 expériences vécues,"1 nuit, 1 adulte",,€ 89
Hotel PARK 45,"Lower Town, Zagreb",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"9,1",2 858 expériences vécues,"1 nuit, 1 adulte",,"€ 180€ 136
-25 %"
B&B Fotić,"Lower Town, Zagreb",Suite,Hébergement géré par un particulier,"8,7",587 expériences vécues,"1 nuit, 1 adulte",,€ 104
Maistra City Vibes Hotel International,Zagreb,Chambre Double ou Lits Jumeaux Classique,Types de lits : 1 lit double ou 2 lits simples,"8,9",3 295 expériences vécues,"1 nuit, 1 adulte",,€ 138
Hostel IN Club,Zagreb,Chambre Simple,1 lit simple,"8,7",635 expériences vécues,"1 nuit, 1 adulte",,€ 34
B&B Dolac,"Lower Town, Zagreb",Chambre Double avec Salle de Bains Privative,1 grand lit double,"9,4",638 expériences vécues,"1 nuit, 1 adulte",,€ 102
The Dots Hostel,"Lower Town, Zagreb",Chambre Simple avec Salle de Bains Commune,1 lit simple,"9,1",703 expériences vécues,"1 nuit, 1 adulte",,"€ 60€ 51
-15 %"
Apartments Lucky Place 2,"Lower Town, Zagreb",Studio Standard,1 lit simple,"8,9",984 expériences vécues,"1 nuit, 1 adulte",,€ 50
THE City Lodge - Boutique Apartments,"Lower Town, Zagreb",Studio Double Deluxe,1 grand lit double,"9,1",965 expériences vécues,"1 nuit, 1 adulte",,€ 102
Hotel Tomislavov Dom,Zagreb,Chambre Simple Standard,1 lit simple,"8,3",1 044 expériences vécues,"1 nuit, 1 adulte",,€ 58
Hotel Sliško,Zagreb,Chambre Simple,1 lit simple,"8,6",1 672 expériences vécues,"1 nuit, 1 adulte",,€ 89
Apartments Luxe Self Check in,Zagreb,Appartement,Hébergement géré par un particulier,"8,0",584 expériences vécues,"1 nuit, 1 adulte",,€ 40
Zagreb City Vibe Apartments & Rooms,"Lower Town, Zagreb",Chambre Double Économique,1 grand lit double,"7,8",687 expériences vécues,"1 nuit, 1 adulte",,€ 65
Rooms Madison,Zagreb,Chambre Double,1 grand lit double,"7,9",737 expériences vécues,"1 nuit, 1 adulte",,€ 64
Bed & Breakfast Donji Grad,"Lower Town, Zagreb",Chambre Double,1 lit double,"9,2",1 062 expériences vécues,"1 nuit, 1 adulte",,€ 97
B&B Downtown Zagreb,"Lower Town, Zagreb",Chambre Triple de Luxe,1 grand lit double,"8,6",47 expériences vécues,"1 nuit, 1 adulte",,€ 88
Hotel Le Premier,"Lower Town, Zagreb",Chambre Simple Supérieure - Accès Gratuit au Spa,1 grand lit double,"8,9",1 980 expériences vécues,"1 nuit, 1 adulte",,€ 168
Lemon Market rooms,Zagreb,Chambre Double avec Salle de Bains Privative,1 grand lit double,"9,1",71 expériences vécues,"1 nuit, 1 adulte",,€ 72
Hotel Jadran,"Lower Town, Zagreb",Chambre Double,Types de lits : 1 lit double ou 2 lits simples,"8,5",2 701 expériences vécues,"1 nuit, 1 adulte",,€ 113
Annie's Bed&Breakfast,"Lower Town, Zagreb",Chambre Double avec Salle de Bains Privative,1 très grand lit double,"9,0",1 474 expériences vécues,"1 nuit, 1 adulte",,€ 92
Himalayan Hostel,"Lower Town, Zagreb",Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"8,1",749 expériences vécues,"1 nuit, 1 adulte",,€ 19
Tiny cozy accommodation,"Upper Town – Medvescak, Zagreb",Appartement 1 Chambre,Hébergement géré par un particulier,"8,4",63 expériences vécues,"1 nuit, 1 adulte",,€ 40
Apartmani Nighty Night,Zagreb,Chambre Double - Non-Fumeurs ,Hébergement géré par un particulier,"9,4",184 expériences vécues,"1 nuit, 1 adulte",,€ 62
