Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Bob W Kluuvi,"Kluuvi, Helsinki",Petite Chambre Lits Jumeaux,1 lit superposé,"8,9",861 expériences vécues,"1 nuit, 1 adulte",,€ 122
Scandic Pasila,"Pasila, Helsinki",Chambre Standard Lit Queen-Size,1 lit double,"8,4",1 592 expériences vécues,"1 nuit, 1 adulte",,€ 100
Omena Hotel Helsinki City Centre,"Kamppi, Helsinki",Chambre Double,1 lit double,"7,1",1 521 expériences vécues,"1 nuit, 1 adulte",,€ 109€ 101-8 %
Hotel Anna,"Punavuori, Helsinki",Chambre Simple Standard,1 lit simple,"7,9",2 155 expériences vécues,"1 nuit, 1 adulte",,€ 110€ 101-8 %
Original Sokos Hotel Vaakuna Helsinki,"Kluuvi, Helsinki",Chambre Lit King-Size Standard,1 très grand lit double,"8,5",1 175 expériences vécues,"1 nuit, 1 adulte",,€ 160€ 147-8 %
Hotel F6,"Kaartinkaupunki, Helsinki",Chambre Double,Plusieurs types de lits,"9,2",1 475 expériences vécues,"1 nuit, 1 adulte",,€ 187
"Radisson Blu Aleksanteri Hotel, Helsinki","Kamppi, Helsinki",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,5",4 403 expériences vécues,"1 nuit, 1 adulte",,€ 126
Citybox Helsinki,"Kallio, Helsinki",Petite Chambre Double,1 grand lit double,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 89
"Radisson Blu Royal Hotel, Helsinki","Kamppi, Helsinki",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,8",4 609 expériences vécues,"1 nuit, 1 adulte",,€ 158
Hotel Rantapuisto,Helsinki,Chambre Lits Jumeaux Standard,2 lits simples,"8,4",1 139 expériences vécues,"1 nuit, 1 adulte",,€ 104
Lapland Hotels Bulevardi,"Kamppi, Helsinki",Chambre Double Confort Nordique,1 grand lit double,"9,4",2 922 expériences vécues,"1 nuit, 1 adulte",,€ 194€ 178-8 %
"Radisson Blu Plaza Hotel, Helsinki","Kluuvi, Helsinki",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"8,3",4 988 expériences vécues,"1 nuit, 1 adulte",,€ 158
"Hotel Indigo Helsinki-Boulevard, an IHG Hotel","Kamppi, Helsinki",Chambre Lit Queen-Size ,1 grand lit double,"8,9",1 910 expériences vécues,"1 nuit, 1 adulte",,€ 132
