Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Floating House & River House Ljubljanica,Ljubljana,Maison 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,6",90 expériences vécues,"1 nuit, 1 adulte",,€ 123
ECO-LUX APART with free bicycles end free parking,Ljubljana,Appartement,1 lit simple,"9,6",248 expériences vécues,"1 nuit, 1 adulte",,€ 73
Zlata Ladjica Boutique Hotel,"Centre-ville de Ljubljana, Ljubljana",Chambre Double,1 grand lit double,"9,8",410 expériences vécues,"1 nuit, 1 adulte",,€ 286
Apartma N'Poznam Tobačna,Ljubljana,Appartement 1 Chambre,Hébergement géré par un particulier,"7,3",100 expériences vécues,"1 nuit, 1 adulte",,€ 68
Villa Ruska dača,Ljubljana,Chambre Double,2 lits simples,"9,2",43 expériences vécues,"1 nuit, 1 adulte",,€ 102
Ljubljana City Centre Apartment,"Centre-ville de Ljubljana, Ljubljana",Appartement 3 Chambres,3 lits doubles,"6,9",56 expériences vécues,"1 nuit, 1 adulte",,€ 113
Stay in pub KAMERA KLUB apatment-city center,"Centre-ville de Ljubljana, Ljubljana",Appartement,"3 lits (1 canapé-lit, 2 grands lits doubles)","9,3",19 expériences vécues,"1 nuit, 1 adulte",,€ 113
Bossa nova Castle&Outstanding home with garage,"Centre-ville de Ljubljana, Ljubljana",Appartement 1 Chambre,Hébergement géré par un particulier,"8,8",85 expériences vécues,"1 nuit, 1 adulte",,€ 149
"Sweet getaway loft - new, central & parking",Ljubljana,Loft,Hébergement géré par un particulier,"7,4",87 expériences vécues,"1 nuit, 1 adulte",,€ 99
Apartment Barje I,Ljubljana,Appartement 2 Chambres,Hébergement géré par un particulier,"8,1",7 expériences vécues,"1 nuit, 1 adulte",,€ 153
D&N Apartment,Ljubljana,Appartement avec Terrasse,"4 lits (2 très grands lits doubles, 2 canapés-lits)","9,5",94 expériences vécues,"1 nuit, 1 adulte",,€ 113
