Date_Départ,Date_arrivée,VILLE_DEPART,VILLE_ARRIVEE,Horaires,Trajet,Type de trajet,Temps de trajet,Prix,Compagnie de vol
2023-12-06,2023-12-12,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,93 €,easyJet Europe
2023-12-06,2023-12-12,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,93 €,"easyJet Europe, easyJet"
2023-12-06,2023-12-12,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,102 €,easyJet
2023-12-06,2023-12-12,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,105 €,easyJet
2023-12-06,2023-12-12,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,106 €,easyJet
2023-12-06,2023-12-12,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,111 €,easyJet Europe
2023-12-06,2023-12-12,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,111 €,"easyJet Europe, easyJet"
2023-12-06,2023-12-12,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,112 €,"easyJet Europe, easyJet"
2023-12-06,2023-12-12,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,112 €,easyJet Europe
2023-12-06,2023-12-12,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,113 €,easyJet
2023-12-06,2023-12-12,BER,PAR,12:25 – 14:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,117 €,Air France
2023-12-06,2023-12-12,BER,PAR,,,,,,
2023-12-06,2023-12-12,BER,PAR,,,,,,
2023-12-06,2023-12-12,BER,PAR,,,,,,
2023-12-06,2023-12-12,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,20:00 – 14:25+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,18h 25min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,12:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,20h 50min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,260 €,Turkish Airlines
2023-12-06,2023-12-12,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,301 €,LOT
2023-12-06,2023-12-12,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,301 €,LOT
2023-12-06,2023-12-12,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,301 €,LOT
2023-12-06,2023-12-12,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,308 €,LOT
2023-12-06,2023-12-12,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,308 €,LOT
2023-12-06,2023-12-12,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,308 €,LOT
2023-12-13,2023-12-19,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,89 €,easyJet
2023-12-13,2023-12-19,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,92 €,easyJet
2023-12-13,2023-12-19,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,94 €,easyJet Europe
2023-12-13,2023-12-19,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,94 €,"easyJet Europe, easyJet"
2023-12-13,2023-12-19,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,96 €,easyJet
2023-12-13,2023-12-19,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,98 €,easyJet Europe
2023-12-13,2023-12-19,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,98 €,"easyJet Europe, easyJet"
2023-12-13,2023-12-19,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,100 €,easyJet
2023-12-13,2023-12-19,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,103 €,easyJet Europe
2023-12-13,2023-12-19,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,103 €,"easyJet Europe, easyJet"
2023-12-13,2023-12-19,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,105 €,easyJet
2023-12-13,2023-12-19,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,106 €,"easyJet Europe, easyJet"
2023-12-13,2023-12-19,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,106 €,easyJet Europe
2023-12-13,2023-12-19,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,108 €,easyJet
2023-12-13,2023-12-19,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,109 €,easyJet
2023-12-13,2023-12-19,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,20:00 – 14:25+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,18h 25min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,12:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,20h 50min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,260 €,Turkish Airlines
2023-12-13,2023-12-19,VNO,KIV,06:20 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,11h 20min,289 €,LOT
2023-12-13,2023-12-19,VNO,KIV,06:20 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,11h 20min,289 €,LOT
2023-12-13,2023-12-19,VNO,KIV,06:20 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,11h 20min,289 €,LOT
2023-12-13,2023-12-19,VNO,KIV,06:20 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,11h 20min,289 €,LOT
2023-12-13,2023-12-19,VNO,KIV,10:05 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 35min,290 €,LOT
2023-12-13,2023-12-19,VNO,KIV,10:05 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 35min,290 €,LOT
2023-12-20,2023-12-26,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,129 €,easyJet
2023-12-20,2023-12-26,BER,PAR,06:00 – 12:25,BERAéroport de Berlin Brandebourg-BVAAéroport de Beauvais-Tillé,direct,6h 25min,132 €,Plusieurs compagnies
2023-12-20,2023-12-26,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,135 €,easyJet
2023-12-20,2023-12-26,BER,PAR,,,,,,
2023-12-20,2023-12-26,BER,PAR,,,,,,
2023-12-20,2023-12-26,BER,PAR,15:45 – 17:35,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,138 €,Air France
2023-12-20,2023-12-26,BER,PAR,,,,,,
2023-12-20,2023-12-26,BER,PAR,12:25 – 14:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,145 €,Air France
2023-12-20,2023-12-26,BER,PAR,20:30 – 22:20,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,157 €,"easyJet, Air France"
2023-12-20,2023-12-26,BER,PAR,09:00 – 10:50,BERAéroport de Berlin Brandebourg-ORYAéroport de Paris-Orly,direct,1h 50min,162 €,"easyJet, Air France"
2023-12-20,2023-12-26,BER,PAR,06:00 – 12:25,BERAéroport de Berlin Brandebourg-BVAAéroport de Beauvais-Tillé,direct,6h 25min,163 €,Plusieurs compagnies
2023-12-20,2023-12-26,BER,PAR,09:05 – 10:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,164 €,"easyJet, Air France"
2023-12-20,2023-12-26,BER,PAR,15:45 – 17:35,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,165 €,"Air France, easyJet"
2023-12-20,2023-12-26,BER,PAR,,,,,,
2023-12-20,2023-12-26,BER,PAR,,,,,,
2023-12-20,2023-12-26,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,290 €,Turkish Airlines
2023-12-20,2023-12-26,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,304 €,Turkish Airlines
2023-12-20,2023-12-26,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,304 €,Turkish Airlines
2023-12-20,2023-12-26,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,304 €,Turkish Airlines
2023-12-20,2023-12-26,VNO,KIV,20:00 – 14:25+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,18h 25min,304 €,Turkish Airlines
2023-12-20,2023-12-26,VNO,KIV,12:00 – 20:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,8h 40min,304 €,Turkish Airlines
2023-12-20,2023-12-26,VNO,KIV,20:00 – 08:50+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,12h 50min,304 €,Turkish Airlines
2023-12-20,2023-12-26,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,362 €,LOT
2023-12-20,2023-12-26,VNO,KIV,08:35 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,5h 30min,362 €,LOT
