Name,Link,Type,Address
Barcomi’s Deli,https://www.yelp.com/biz/barcomis-deli-berlin?osq=restaurant,"('Barcomi’s Deli', 'https://www.yelp.com/biz/barcomis-deli-berlin?osq=restaurant', 'Cafes')",Sophienstr. 21 2. Hof Sophie-Gips-Höfe 10178 Berlin Germany
St. Oberholz,https://www.yelp.com/biz/st-oberholz-berlin-3?osq=restaurant,Bars - Cafes,Rosenthaler Str. 72 a 10119 Berlin Germany
Grill Royal,https://www.yelp.com/biz/grill-royal-berlin?osq=restaurant,Steakhouses - Wine Bars,Friedrichstr. 105 b 10117 Berlin Germany
Sasaya,https://www.yelp.com/biz/sasaya-berlin?osq=restaurant,Japanese - Sushi Bars,Lychener Str. 50 10437 Berlin Germany
Trattoria del Corso,https://www.yelp.com/biz/trattoria-del-corso-berlin?osq=restaurant,"('Trattoria del Corso', 'https://www.yelp.com/biz/trattoria-del-corso-berlin?osq=restaurant', 'Italian')",Hauptstr. 70 12159 Berlin Germany
Café Bilderbuch,https://www.yelp.com/biz/caf%C3%A9-bilderbuch-berlin-2?osq=restaurant,Breakfast & Brunch - Cafes,Akazienstr. 28 10823 Berlin Germany
Villa Rodizio,https://www.yelp.com/biz/villa-rodizio-berlin?osq=restaurant,Brazilian - Mexican,Milastr. 2 10437 Berlin Germany
Papà Pane di Sorrento,https://www.yelp.com/biz/pap%C3%A0-pane-di-sorrento-berlin-2?osq=restaurant,"('Papà Pane di Sorrento', 'https://www.yelp.com/biz/pap%C3%A0-pane-di-sorrento-berlin-2?osq=restaurant', 'Italian')",Ackerstr. 23 10115 Berlin Germany
Steakhouse Asador,https://www.yelp.com/biz/steakhouse-asador-berlin-3?osq=restaurant,"('Steakhouse Asador', 'https://www.yelp.com/biz/steakhouse-asador-berlin-3?osq=restaurant', 'Steakhouses')",Wilhelmstr. 22 10963 Berlin Germany
12 Apostel,https://www.yelp.com/biz/12-apostel-berlin-2?osq=restaurant,Italian - Pizza,Georgenstr. 2 10117 Berlin Germany
Lon Men’s Noodle House,https://www.yelp.com/biz/lon-mens-noodle-house-berlin?osq=restaurant,Chinese - Fast Food,Kantstr. 33 10625 Berlin Germany
Good Friends,https://www.yelp.com/biz/good-friends-berlin?osq=restaurant,Chinese - Pan Asian,Kantstr. 30 10623 Berlin Germany
Good Time,https://www.yelp.com/biz/good-time-berlin-3?osq=restaurant,Indonesian - Thai,Hausvogteiplatz 11 10117 Berlin Germany
Hamy Café,https://www.yelp.com/biz/hamy-caf%C3%A9-berlin-2?osq=restaurant,"('Hamy Café', 'https://www.yelp.com/biz/hamy-caf%C3%A9-berlin-2?osq=restaurant', 'Vietnamese')",Hasenheide 10 10967 Berlin Germany
Schneeweiß-Berlin,https://www.yelp.com/biz/schneewei%C3%9F-berlin-berlin?osq=restaurant,"('Schneeweiß-Berlin', 'https://www.yelp.com/biz/schneewei%C3%9F-berlin-berlin?osq=restaurant', 'Modern European')",Simplonstr. 16 10245 Berlin Germany
AMRIT Restaurant Mitte,https://www.yelp.com/biz/amrit-restaurant-mitte-berlin-2?osq=restaurant,Indian - Cocktail Bars,Oranienburger Str. 45 10117 Berlin Germany
District Mot,https://www.yelp.com/biz/district-mot-berlin?osq=restaurant,"('District Mot', 'https://www.yelp.com/biz/district-mot-berlin?osq=restaurant', 'Vietnamese')",Rosenthaler Str. 62 10119 Berlin Germany
Chipps,https://www.yelp.com/biz/chipps-berlin?osq=restaurant,International - Breakfast & Brunch,Jägerstr. 35 10117 Berlin Germany
Royal Garden,https://www.yelp.com/biz/royal-garden-berlin?osq=restaurant,Chinese - Mongolian,Osdorfer Str. 26 12207 Berlin Germany
Route 66 Diner,https://www.yelp.com/biz/route-66-diner-berlin?osq=restaurant,Burgers - Diners,Pariser Str. 44 10707 Berlin Germany
Chén Chè Teehaus,https://www.yelp.com/biz/ch%C3%A9n-ch%C3%A8-teehaus-berlin-2?osq=restaurant,Vietnamese - Coffee & Tea,Rosenthaler Str. 13 10119 Berlin Germany
Zur Bratpfanne,https://www.yelp.com/biz/zur-bratpfanne-berlin?osq=restaurant,Curry Sausage - Fast Food,Schloßstraße 12163 Berlin Germany
Sowohlalsauch,https://www.yelp.com/biz/sowohlalsauch-berlin-2?osq=restaurant,Cafes - Patisserie/Cake Shop,Kollwitzstr. 88 10435 Berlin Germany
Hasir,https://www.yelp.com/biz/hasir-berlin-4?osq=restaurant,"('Hasir', 'https://www.yelp.com/biz/hasir-berlin-4?osq=restaurant', 'Turkish')",Adalbertstr. 10 10999 Berlin Germany
Vapiano,https://www.yelp.com/biz/vapiano-berlin-3?osq=restaurant,Italian - Cafeteria,Mittelstr. 51 - 52 10117 Berlin Germany
Goodies,https://www.yelp.com/biz/goodies-berlin?osq=restaurant,Vegan - Cafes,Warschauer Str. 69 10243 Berlin Germany
Peking Ente,https://www.yelp.com/biz/peking-ente-berlin-2?osq=restaurant,"('Peking Ente', 'https://www.yelp.com/biz/peking-ente-berlin-2?osq=restaurant', 'Dim Sum')",Voßstr. 1 10117 Berlin Germany
Yumcha Heroes,https://www.yelp.com/biz/yumcha-heroes-berlin?osq=restaurant,"('Yumcha Heroes', 'https://www.yelp.com/biz/yumcha-heroes-berlin?osq=restaurant', 'Dim Sum')",Weinbergsweg 8 10119 Berlin Germany
Zaika,https://www.yelp.com/biz/zaika-berlin?osq=restaurant,"('Zaika', 'https://www.yelp.com/biz/zaika-berlin?osq=restaurant', 'Indian')",Wichertstr. 57 10439 Berlin Germany
Café Einstein Stammhaus,https://www.yelp.com/biz/caf%C3%A9-einstein-stammhaus-berlin-4?osq=restaurant,Cafes - Austrian,Kurfürstenstr. 58 10785 Berlin Germany
Maria Bonita,https://www.yelp.com/biz/maria-bonita-berlin-3?osq=restaurant,"('Maria Bonita', 'https://www.yelp.com/biz/maria-bonita-berlin-3?osq=restaurant', 'Mexican')",Danziger Str. 33 10435 Berlin Germany
Rembrandt-Burger,https://www.yelp.com/biz/rembrandt-burger-berlin?osq=restaurant,"('Rembrandt-Burger', 'https://www.yelp.com/biz/rembrandt-burger-berlin?osq=restaurant', 'Burgers')",Richard-Sorge-Str. 21 10249 Berlin Germany
BLOCK HOUSE Am Alexanderplatz,https://www.yelp.com/biz/block-house-am-alexanderplatz-berlin-4?osq=restaurant,"('BLOCK HOUSE Am Alexanderplatz', 'https://www.yelp.com/biz/block-house-am-alexanderplatz-berlin-4?osq=restaurant', 'Steakhouses')",Karl-Liebknechtstr. 7 10178 Berlin Germany
Trattoria Libau,https://www.yelp.com/biz/trattoria-libau-berlin?osq=restaurant,Italian - Pizza,Libauer Str. 10 10245 Berlin Germany
Dolores,https://www.yelp.com/biz/dolores-berlin-3?osq=restaurant,"('Dolores', 'https://www.yelp.com/biz/dolores-berlin-3?osq=restaurant', 'Mexican')",Bayreuther Str. 36 10789 Berlin Germany
Schleusenkrug,https://www.yelp.com/biz/schleusenkrug-berlin?osq=restaurant,Dive Bars - Beer Garden,Müller-Breslau-Str. 14 b 10623 Berlin Germany
Kuchi,https://www.yelp.com/biz/kuchi-berlin?osq=restaurant,Sushi Bars - Pan Asian,Kantstr. 30 10623 Berlin Germany
Stadtklause,https://www.yelp.com/biz/stadtklause-berlin?osq=restaurant,"('Stadtklause', 'https://www.yelp.com/biz/stadtklause-berlin?osq=restaurant', 'German')",Bernburger Str. 35 10963 Berlin Germany
Toca Rouge,https://www.yelp.com/biz/toca-rouge-berlin?osq=restaurant,Chinese - Pan Asian,Torstr. 195 10115 Berlin Germany
Kuchenrausch,https://www.yelp.com/biz/kuchenrausch-berlin?osq=restaurant,Breakfast & Brunch - Patisserie/Cake Shop,Simon-Dach-Str. 1 10245 Berlin Germany
Ständige Vertretung,https://www.yelp.com/biz/st%C3%A4ndige-vertretung-berlin-2?osq=restaurant,"('Ständige Vertretung', 'https://www.yelp.com/biz/st%C3%A4ndige-vertretung-berlin-2?osq=restaurant', 'German')",Schiffbauerdamm 8 10117 Berlin Germany
1900 Café,https://www.yelp.com/biz/1900-caf%C3%A9-berlin?osq=restaurant,"('1900 Café', 'https://www.yelp.com/biz/1900-caf%C3%A9-berlin?osq=restaurant', 'Cafes')",Knesebeckstr. 76 10623 Berlin Germany
Café Datscha Friedrichshain,https://www.yelp.com/biz/caf%C3%A9-datscha-friedrichshain-berlin?osq=restaurant,Russian - Breakfast & Brunch,Gabriel-Max-Str. 1 10245 Berlin Germany
Akiko Sushi,https://www.yelp.com/biz/akiko-sushi-berlin-2?osq=restaurant,Sushi Bars - Japanese,Ahornstr. 32 12163 Berlin Germany
Taverna Ousia,https://www.yelp.com/biz/taverna-ousia-berlin-4?osq=restaurant,"('Taverna Ousia', 'https://www.yelp.com/biz/taverna-ousia-berlin-4?osq=restaurant', 'Greek')",Grunewaldstr. 54 10825 Berlin Germany
Elefant,https://www.yelp.com/biz/elefant-berlin?osq=restaurant,"('Elefant', 'https://www.yelp.com/biz/elefant-berlin?osq=restaurant', 'German')",Fuggerstr. 18 10777 Berlin Germany
Baraka,https://www.yelp.com/biz/baraka-berlin-2?osq=restaurant,Moroccan - Oriental,Lausitzer Platz 6 10997 Berlin Germany
Matreshka,https://www.yelp.com/biz/matreshka-berlin-2?osq=restaurant,Russian - Ukrainian,Boxhagener Str. 60 10245 Berlin Germany
Transit,https://www.yelp.com/biz/transit-berlin-2?osq=restaurant,Thai - Indonesian,Sonntagstr. 28 10245 Berlin Germany
House of Small Wonder,https://www.yelp.com/biz/house-of-small-wonder-berlin?osq=restaurant,Breakfast & Brunch - Cocktail Bars,Auguststraße 11 - 13 10117 Berlin Germany
Kopps,https://www.yelp.com/biz/kopps-berlin?osq=restaurant,Vegan - Bars,Linienstr. 94 10115 Berlin Germany
Schwarzwaldstuben,https://www.yelp.com/biz/schwarzwaldstuben-berlin?osq=restaurant,Breakfast & Brunch - Swabian,Tucholskystr. 48 10117 Berlin Germany
Maximilians,https://www.yelp.com/biz/maximilians-berlin-3?osq=restaurant,German - Bavarian,Friedrichstr. 185 - 190 10117 Berlin Germany
Freischwimmer,https://www.yelp.com/biz/freischwimmer-berlin?osq=restaurant,German - Flatbread,Vor dem Schlesischen Tor 2 a 10997 Berlin Germany
UMAMI P-BERG,https://www.yelp.com/biz/umami-p-berg-berlin?osq=restaurant,Vietnamese - Pan Asian,Knaackstr.16 10405 Berlin Germany
spreegold,https://www.yelp.com/biz/spreegold-berlin-2?osq=restaurant,Salad - Breakfast & Brunch,Rosa-Luxemburg-Str. 2 10178 Berlin Germany
Kauf Dich Glücklich Café,https://www.yelp.com/biz/kauf-dich-gl%C3%BCcklich-caf%C3%A9-berlin?osq=restaurant,Cafes - Breakfast & Brunch,Oderberger Str. 44 10435 Berlin Germany
Corroboree,https://www.yelp.com/biz/corroboree-berlin-2?osq=restaurant,Bars - Australian,Bellevuestr. 5 10785 Berlin Germany
Miss Saigon,https://www.yelp.com/biz/miss-saigon-berlin-3?osq=restaurant,"('Miss Saigon', 'https://www.yelp.com/biz/miss-saigon-berlin-3?osq=restaurant', 'Vietnamese')",Skalitzer Str. 38 10999 Berlin Germany
Si An,https://www.yelp.com/biz/si-an-berlin?osq=restaurant,"('Si An', 'https://www.yelp.com/biz/si-an-berlin?osq=restaurant', 'Vietnamese')",Rykestr. 36 10405 Berlin Germany
Pasternak,https://www.yelp.com/biz/pasternak-berlin?osq=restaurant,Russian - Jewish,Knaackstr. 22/24 10405 Berlin Germany
Nolas am Weinberg,https://www.yelp.com/biz/nolas-am-weinberg-berlin?osq=restaurant,"('Nolas am Weinberg', 'https://www.yelp.com/biz/nolas-am-weinberg-berlin?osq=restaurant', 'Modern European')",Veteranenstr. 9 10119 Berlin Germany
Katz Orange,https://www.yelp.com/biz/katz-orange-berlin?osq=restaurant,Bars - German,No address
Kuchi,https://www.yelp.com/biz/kuchi-berlin-2?osq=restaurant,Japanese - Sushi Bars,Gipsstr. 3 10119 Berlin Germany
Santa Maria,https://www.yelp.com/biz/santa-maria-berlin?osq=restaurant,"('Santa Maria', 'https://www.yelp.com/biz/santa-maria-berlin?osq=restaurant', 'Mexican')",Oranienstr. 170 10999 Berlin Germany
Hühnerhaus 36,https://www.yelp.com/biz/h%C3%BChnerhaus-36-berlin-3?osq=restaurant,Fast Food - Chicken Shop,Skalitzer Str. 95 a 10997 Berlin Germany
El Borriquito,https://www.yelp.com/biz/el-borriquito-berlin-3?osq=restaurant,"('El Borriquito', 'https://www.yelp.com/biz/el-borriquito-berlin-3?osq=restaurant', 'Spanish')",Wielandstr. 6 10625 Berlin Germany
Dicke Wirtin,https://www.yelp.com/biz/dicke-wirtin-berlin?osq=restaurant,Dive Bars - Eastern German,Carmerstr. 9 10623 Berlin Germany
Mein Haus am See,https://www.yelp.com/biz/mein-haus-am-see-berlin?osq=restaurant,Lounges - Cafes,Brunnenstr. 197 - 198 10119 Berlin Germany
Ach! Niko! Ach!,https://www.yelp.com/biz/ach-niko-ach-berlin?osq=restaurant,"('Ach! Niko! Ach!', 'https://www.yelp.com/biz/ach-niko-ach-berlin?osq=restaurant', 'Greek')",Kurfürstendamm 97-98 10709 Berlin Germany
Ishin,https://www.yelp.com/biz/ishin-berlin-2?osq=restaurant,"('Ishin', 'https://www.yelp.com/biz/ishin-berlin-2?osq=restaurant', 'Sushi Bars')",Mittelstr. 24 10117 Berlin Germany
Masaniello,https://www.yelp.com/biz/masaniello-berlin?osq=restaurant,Italian - Pizza,Hasenheide 20 10967 Berlin Germany
EINSTEIN Unter den Linden,https://www.yelp.com/biz/einstein-unter-den-linden-berlin-2?osq=restaurant,Cafes - Austrian,Unter den Linden 42 10117 Berlin Germany
Schraders,https://www.yelp.com/biz/schraders-berlin?osq=restaurant,Breakfast & Brunch - Burgers,Malplaquetstr. 16 B 13347 Berlin Germany
Die Berliner Republik,https://www.yelp.com/biz/die-berliner-republik-berlin?osq=restaurant,Bars - German,Schiffbauerdamm 8 10117 Berlin Germany
Bao,https://www.yelp.com/biz/bao-berlin?osq=restaurant,"('Bao', 'https://www.yelp.com/biz/bao-berlin?osq=restaurant', 'Vietnamese')",Hindenburgdamm 57a 12203 Berlin Germany
Midtown Grill,https://www.yelp.com/biz/midtown-grill-berlin?osq=restaurant,Steakhouses - Barbeque,Ebertstr. 3 10117 Berlin Germany
The Barn,https://www.yelp.com/biz/the-barn-berlin-2?osq=restaurant,"('The Barn', 'https://www.yelp.com/biz/the-barn-berlin-2?osq=restaurant', 'Cafes')",Auguststr. 58 10119 Berlin Germany
Max und Moritz,https://www.yelp.com/biz/max-und-moritz-berlin-8?osq=restaurant,"('Max und Moritz', 'https://www.yelp.com/biz/max-und-moritz-berlin-8?osq=restaurant', 'German')",Oranienstr. 162 10969 Berlin Germany
Yoyo Foodworld,https://www.yelp.com/biz/yoyo-foodworld-berlin?osq=restaurant,"('Yoyo Foodworld', 'https://www.yelp.com/biz/yoyo-foodworld-berlin?osq=restaurant', 'Vegan')",Gärtnerstr. 27 10245 Berlin Germany
Burgerie,https://www.yelp.com/biz/burgerie-berlin?osq=restaurant,"('Burgerie', 'https://www.yelp.com/biz/burgerie-berlin?osq=restaurant', 'Burgers')",Schönhauser Allee 50 10437 Berlin Germany
Café 100 Wasser,https://www.yelp.com/biz/caf%C3%A9-100-wasser-berlin-2?osq=restaurant,Breakfast & Brunch - Bars,Simon-Dach-Str. 39 10245 Berlin Germany
Zsa Zsa Burger,https://www.yelp.com/biz/zsa-zsa-burger-berlin-2?osq=restaurant,"('Zsa Zsa Burger', 'https://www.yelp.com/biz/zsa-zsa-burger-berlin-2?osq=restaurant', 'Burgers')",Motzstr. 28 10777 Berlin Germany
Kurhaus Korsakow,https://www.yelp.com/biz/kurhaus-korsakow-berlin?osq=restaurant,"('Kurhaus Korsakow', 'https://www.yelp.com/biz/kurhaus-korsakow-berlin?osq=restaurant', 'German')",Grünberger Str. 81 10245 Berlin Germany
Lily Burger & Steaks,https://www.yelp.com/biz/lily-burger-und-steaks-berlin-2?osq=restaurant,Burgers - Breakfast & Brunch,Am Friedrichshain 34 10407 Berlin Germany
Kuchenkaiser,https://www.yelp.com/biz/kuchenkaiser-berlin?osq=restaurant,German - Bars,Oranienplatz 11 - 13 10999 Berlin Germany
Café Datscha Mitte,https://www.yelp.com/biz/caf%C3%A9-datscha-mitte-berlin?osq=restaurant,Russian - Cafes,Weinbergsweg 25 10119 Berlin Germany
Das Lemke,https://www.yelp.com/biz/das-lemke-berlin?osq=restaurant,Breweries - German,Dircksenstraße S-Bahnbogen 143 10178 Berlin Germany
Sadhu,https://www.yelp.com/biz/sadhu-berlin-2?osq=restaurant,Pakistani - Indian,Falckensteinstr. 41 10997 Berlin Germany
Ixthys,https://www.yelp.com/biz/ixthys-berlin?osq=restaurant,"('Ixthys', 'https://www.yelp.com/biz/ixthys-berlin?osq=restaurant', 'Korean')",Pallasstr. 21 10781 Berlin Germany
Lutter & Wegner,https://www.yelp.com/biz/lutter-und-wegner-berlin-3?osq=restaurant,"('Lutter & Wegner', 'https://www.yelp.com/biz/lutter-und-wegner-berlin-3?osq=restaurant', 'German')",Charlottenstr. 56 10117 Berlin Germany
Vöner,https://www.yelp.com/biz/v%C3%B6ner-berlin?osq=restaurant,Vegan - Burgers,Boxhagener Str. 56 10245 Berlin Germany
GRAND BAR,https://www.yelp.com/biz/grand-bar-berlin-6?osq=restaurant,International - Lounges,Oranienburger Str. 33 10117 Berlin Germany
Café Fleury,https://www.yelp.com/biz/caf%C3%A9-fleury-berlin-2?osq=restaurant,Bistros - Cafes,Weinbergsweg 20 10119 Berlin Germany
Taquería Ta’Cabrón,https://www.yelp.com/biz/taquer%C3%ADa-tacabr%C3%B3n-berlin?osq=restaurant,Mexican - Dive Bars,Skalitzer Str. 60 10997 Berlin Germany
