Name,Link,Type,Address
Café George V,https://www.yelp.com/biz/caf%C3%A9-george-v-paris-4?osq=restaurant,"('Café George V', 'https://www.yelp.com/biz/caf%C3%A9-george-v-paris-4?osq=restaurant', 'Cafes')",120 avenue des Champs Elysées 75008 Paris France
Framboise,https://www.yelp.com/biz/framboise-paris-20?osq=restaurant,"('Framboise', 'https://www.yelp.com/biz/framboise-paris-20?osq=restaurant', 'Creperies')",7 rue de Ponthieu 75008 Paris France
Le Fouquet’s,https://www.yelp.com/biz/le-fouquets-paris-3?osq=restaurant,French - Bars,99 avenue des Champs-Elysées 75008 Paris France
Le Café du Commerce,https://www.yelp.com/biz/le-caf%C3%A9-du-commerce-paris-7?osq=restaurant,"('Le Café du Commerce', 'https://www.yelp.com/biz/le-caf%C3%A9-du-commerce-paris-7?osq=restaurant', 'French')",51 rue du Commerce 75015 Paris France
The Hardware Société,https://www.yelp.com/biz/the-hardware-soci%C3%A9t%C3%A9-paris-2?osq=restaurant,Coffee & Tea - Breakfast & Brunch,10 rue Lamarck 75018 Paris France
Monsieur Bleu,https://www.yelp.com/biz/monsieur-bleu-paris?osq=restaurant,French - Breakfast & Brunch,20 avenue de New York Palais de Tokyo 75116 Paris France
L’Ardoise,https://www.yelp.com/biz/l-ardoise-paris-2?osq=restaurant,"('L’Ardoise', 'https://www.yelp.com/biz/l-ardoise-paris-2?osq=restaurant', 'French')",28 rue du Mont Thabor 75001 Paris France
Chez Lili et Marcel,https://www.yelp.com/biz/chez-lili-et-marcel-paris?osq=restaurant,French - Brasseries,1 quai Austerlitz 75013 Paris France
La Maison de l’Aubrac,https://www.yelp.com/biz/la-maison-de-l-aubrac-paris?osq=restaurant,French - Brasseries,37 rue Marbeuf 75008 Paris France
Le China,https://www.yelp.com/biz/le-china-paris?osq=restaurant,Music Venues - Lounges,50 rue de Charenton 75012 Paris France
Le Bosquet,https://www.yelp.com/biz/le-bosquet-paris?osq=restaurant,Bars - Brasseries,46 avenue du Bosquet 75007 Paris France
Le Petit Vendôme,https://www.yelp.com/biz/le-petit-vend%C3%B4me-paris-2?osq=restaurant,Sandwiches - Brasseries,8 rue des Capucines 75002 Paris France
Chez Francis,https://www.yelp.com/biz/chez-francis-paris?osq=restaurant,Brasseries - French,7 place de l'Alma 75008 Paris France
Chez le Libanais,https://www.yelp.com/biz/chez-le-libanais-paris?osq=restaurant,"('Chez le Libanais', 'https://www.yelp.com/biz/chez-le-libanais-paris?osq=restaurant', 'Lebanese')",35 et 36 rue Saint-André-des-Arts 75006 Paris France
Pizza Pino,https://www.yelp.com/biz/pizza-pino-paris-8?osq=restaurant,Italian - Pizza,31-33 ave Champs Elysées 75008 Paris 8 France
Le Louchébem,https://www.yelp.com/biz/le-louch%C3%A9bem-paris-4?osq=restaurant,"('Le Louchébem', 'https://www.yelp.com/biz/le-louch%C3%A9bem-paris-4?osq=restaurant', 'Steakhouses')",31 rue Berger 75001 Paris France
Schwartz’s Deli,https://www.yelp.com/biz/schwartzs-deli-paris?osq=restaurant,Breakfast & Brunch - American,16 rue des Ecouffes 75004 Paris France
El Sol y la Luna,https://www.yelp.com/biz/el-sol-y-la-luna-paris?osq=restaurant,"('El Sol y la Luna', 'https://www.yelp.com/biz/el-sol-y-la-luna-paris?osq=restaurant', 'Latin American')",31 rue Saint-Jacques 75005 Paris France
Le Potager du Marais,https://www.yelp.com/biz/le-potager-du-marais-paris?osq=restaurant,Vegetarian - French,24 rue Rambuteau 75003 Paris France
Café Saint-Régis,https://www.yelp.com/biz/caf%C3%A9-saint-r%C3%A9gis-paris-2?osq=restaurant,French - Breakfast & Brunch,6 rue Jean du Bellay 75004 Paris France
La Caféothèque,https://www.yelp.com/biz/la-caf%C3%A9oth%C3%A8que-paris-2?osq=restaurant,"('La Caféothèque', 'https://www.yelp.com/biz/la-caf%C3%A9oth%C3%A8que-paris-2?osq=restaurant', 'Cafes')",52 rue de l'Hôtel de Ville 75004 Paris France
Miznon,https://www.yelp.com/biz/miznon-paris?osq=restaurant,"('Miznon', 'https://www.yelp.com/biz/miznon-paris?osq=restaurant', 'Middle Eastern')",22 rue des Ecouffes 75004 Paris France
Dans le Noir ?,https://www.yelp.com/biz/dans-le-noir-paris?osq=restaurant,"('Dans le Noir ?', 'https://www.yelp.com/biz/dans-le-noir-paris?osq=restaurant', 'French')",51 rue Quincampoix 75004 Paris France
La Rotonde,https://www.yelp.com/biz/la-rotonde-paris-3?osq=restaurant,"('La Rotonde', 'https://www.yelp.com/biz/la-rotonde-paris-3?osq=restaurant', 'Brasseries')",105 boulevard du Montparnasse 75006 Paris France
Café des Deux Moulins,https://www.yelp.com/biz/caf%C3%A9-des-deux-moulins-paris-18?osq=restaurant,"('Café des Deux Moulins', 'https://www.yelp.com/biz/caf%C3%A9-des-deux-moulins-paris-18?osq=restaurant', 'Brasseries')",15 rue Lepic 75018 Paris 18 France
Brasserie Lipp,https://www.yelp.com/biz/brasserie-lipp-paris-3?osq=restaurant,"('Brasserie Lipp', 'https://www.yelp.com/biz/brasserie-lipp-paris-3?osq=restaurant', 'Brasseries')",151 boulevard Saint-Germain 75006 Paris France
Frog,https://www.yelp.com/biz/frog-paris?osq=restaurant,Pubs - Burgers,25 cour Saint Émilion 75012 Paris France
Chez Marianne,https://www.yelp.com/biz/chez-marianne-paris?osq=restaurant,"('Chez Marianne', 'https://www.yelp.com/biz/chez-marianne-paris?osq=restaurant', 'Middle Eastern')",2 Rue Hospitalières St Gervais 75004 Paris France
Le Relais Gascon,https://www.yelp.com/biz/le-relais-gascon-paris-2?osq=restaurant,"('Le Relais Gascon', 'https://www.yelp.com/biz/le-relais-gascon-paris-2?osq=restaurant', 'French Southwest')",6 rue des Abesses 75018 Paris France
Le 404,https://www.yelp.com/biz/le-404-paris?osq=restaurant,Moroccan - Breakfast & Brunch,69 rue des Gravilliers 75003 Paris France
Polidor,https://www.yelp.com/biz/polidor-paris-2?osq=restaurant,"('Polidor', 'https://www.yelp.com/biz/polidor-paris-2?osq=restaurant', 'French')",41 rue Monsieur le Prince 75006 Paris France
Chez Prune,https://www.yelp.com/biz/chez-prune-paris?osq=restaurant,Bars - Bistros,36 rue Beaurepaire 75010 Paris France
Soya,https://www.yelp.com/biz/soya-paris?osq=restaurant,Breakfast & Brunch - Vegan,20 rue de la Pierre Levée 75011 Paris France
Le Basilic,https://www.yelp.com/biz/le-basilic-paris-3?osq=restaurant,"('Le Basilic', 'https://www.yelp.com/biz/le-basilic-paris-3?osq=restaurant', 'French')",33 rue Lepic 75018 Paris France
Au Dernier Métro,https://www.yelp.com/biz/au-dernier-m%C3%A9tro-paris-2?osq=restaurant,"('Au Dernier Métro', 'https://www.yelp.com/biz/au-dernier-m%C3%A9tro-paris-2?osq=restaurant', 'French')",70 boulevard de Grenelle 75015 Paris France
Chez Alain Miam Miam,https://www.yelp.com/biz/chez-alain-miam-miam-paris?osq=restaurant,Creperies - Bakeries,26 rue Charlot 75003 Paris France
L’Epicure,https://www.yelp.com/biz/l-epicure-paris-2?osq=restaurant,French - Breakfast & Brunch,112 rue du Faubourg Saint-Honoré 75008 Paris France
Pizzeria Babalou,https://www.yelp.com/biz/pizzeria-babalou-paris?osq=restaurant,Italian - Pizza,4 rue Lamarck 75018 Paris France
Kunitoraya - Bistro Udon,https://www.yelp.com/biz/kunitoraya-bistro-udon-paris?osq=restaurant,Japanese - Soup,No address
Cuba Compagnie,https://www.yelp.com/biz/cuba-compagnie-paris-2?osq=restaurant,Cuban - Cocktail Bars,48 boulevard Beaumarchais 75011 Paris France
L’Alsace,https://www.yelp.com/biz/l-alsace-paris?osq=restaurant,"('L’Alsace', 'https://www.yelp.com/biz/l-alsace-paris?osq=restaurant', 'Brasseries')",39 avenue Champs Elysées 75008 Paris France
Paradis du Fruit,https://www.yelp.com/biz/paradis-du-fruit-paris-2?osq=restaurant,French - Juice Bars & Smoothies,2 place Saint Michel 75006 Paris France
Flottes,https://www.yelp.com/biz/flottes-paris?osq=restaurant,"('Flottes', 'https://www.yelp.com/biz/flottes-paris?osq=restaurant', 'Brasseries')",2 rue Cambon 75001 Paris France
La Mosquée,https://www.yelp.com/biz/la-mosqu%C3%A9e-paris-3?osq=restaurant,Moroccan - Halal,39 rue Geoffroy-Saint-Hilaire 75005 Paris France
Anahuacalli,https://www.yelp.com/biz/anahuacalli-paris?osq=restaurant,"('Anahuacalli', 'https://www.yelp.com/biz/anahuacalli-paris?osq=restaurant', 'Mexican')",30 rue Bernardins 75005 Paris France
Café du Marché,https://www.yelp.com/biz/caf%C3%A9-du-march%C3%A9-paris-6?osq=restaurant,"('Café du Marché', 'https://www.yelp.com/biz/caf%C3%A9-du-march%C3%A9-paris-6?osq=restaurant', 'Brasseries')",38 rue Cler 75007 Paris France
Les Éditeur,https://www.yelp.com/biz/les-%C3%A9diteur-paris?osq=restaurant,French - Lounges,4 carrefour de l'Odéon 75006 Paris France
Mariage Frères,https://www.yelp.com/biz/mariage-fr%C3%A8res-paris-9?osq=restaurant,Museums - Tea Rooms,30 rue du Bourg Tibourg 75004 Paris France
Gusto Italia,https://www.yelp.com/biz/gusto-italia-paris-2?osq=restaurant,Italian - Pizza,199 rue de Grenelle 75007 Paris France
Bistrot des Dames,https://www.yelp.com/biz/bistrot-des-dames-paris-2?osq=restaurant,"('Bistrot des Dames', 'https://www.yelp.com/biz/bistrot-des-dames-paris-2?osq=restaurant', 'French')",18 rue des Dames 75017 Paris France
Banh Mi,https://www.yelp.com/biz/banh-mi-paris?osq=restaurant,Vietnamese - Sandwiches,81 rue de Turbigo 75003 Paris France
Au Pied du Sacré Coeur,https://www.yelp.com/biz/au-pied-du-sacr%C3%A9-coeur-paris-2?osq=restaurant,"('Au Pied du Sacré Coeur', 'https://www.yelp.com/biz/au-pied-du-sacr%C3%A9-coeur-paris-2?osq=restaurant', 'French')",85 rue Lamarck 75018 Paris France
Carpe Diem Café,https://www.yelp.com/biz/carpe-diem-caf%C3%A9-paris-2?osq=restaurant,French - Lounges,21 rue des Halles 75001 Paris France
Fajitas,https://www.yelp.com/biz/fajitas-paris?osq=restaurant,"('Fajitas', 'https://www.yelp.com/biz/fajitas-paris?osq=restaurant', 'Mexican')",15 rue Dauphine 75006 Paris France
Le Camion qui Fume,https://www.yelp.com/biz/le-camion-qui-fume-paris?osq=restaurant,Burgers - Food Trucks,No address
Ô Chateau,https://www.yelp.com/biz/%C3%B4-chateau-paris-6?osq=restaurant,Wine Bars - French,68 rue Jean-Jacques Rousseau 75001 Paris France
Tribeca,https://www.yelp.com/biz/tribeca-paris-3?osq=restaurant,Italian - Brasseries,36 rue Cler 75007 Paris France
Zango,https://www.yelp.com/biz/zango-paris-4?osq=restaurant,Middle Eastern - African,15 rue du Cygne 75001 Paris France
Siseng,https://www.yelp.com/biz/siseng-paris?osq=restaurant,Burgers - Pan Asian,82 quai de Jemmapes 75010 Paris France
Le Castel Café,https://www.yelp.com/biz/le-castel-caf%C3%A9-paris-3?osq=restaurant,French - Cafes,5 avenue de Suffren 75007 Paris France
Loulou,https://www.yelp.com/biz/loulou-paris-4?osq=restaurant,Burgers - Cafes,90 boulevard Saint-Germain 75005 Paris France
Pierre Sang,https://www.yelp.com/biz/pierre-sang-paris-5?osq=restaurant,French - Korean,55 rue Oberkampf 75011 Paris France
Verjus,https://www.yelp.com/biz/verjus-paris?osq=restaurant,"('Verjus', 'https://www.yelp.com/biz/verjus-paris?osq=restaurant', 'Modern European')",52 rue de Richelieu 75001 Paris France
L’Atelier de Joël Robuchon,https://www.yelp.com/biz/l-atelier-de-jo%C3%ABl-robuchon-paris-3?osq=restaurant,"('L’Atelier de Joël Robuchon', 'https://www.yelp.com/biz/l-atelier-de-jo%C3%ABl-robuchon-paris-3?osq=restaurant', 'French')",133 avenue des Champs-Elysées 75008 Paris France
Bouillon Racine,https://www.yelp.com/biz/bouillon-racine-paris?osq=restaurant,"('Bouillon Racine', 'https://www.yelp.com/biz/bouillon-racine-paris?osq=restaurant', 'French')",3 rue Racine 75006 Paris France
Les Pâtes Vivantes,https://www.yelp.com/biz/les-p%C3%A2tes-vivantes-paris-2?osq=restaurant,Chinese - Soup,46 rue du faubourg Montmartre 75009 Paris France
Le Club des 5,https://www.yelp.com/biz/le-club-des-5-paris-3?osq=restaurant,"('Le Club des 5', 'https://www.yelp.com/biz/le-club-des-5-paris-3?osq=restaurant', 'French')",57 rue des Batignolles 75017 Paris France
Le Cinq,https://www.yelp.com/biz/le-cinq-paris?osq=restaurant,"('Le Cinq', 'https://www.yelp.com/biz/le-cinq-paris?osq=restaurant', 'French')",31 avenue George V 75008 Paris France
Café le Dôme,https://www.yelp.com/biz/caf%C3%A9-le-d%C3%B4me-paris-2?osq=restaurant,"('Café le Dôme', 'https://www.yelp.com/biz/caf%C3%A9-le-d%C3%B4me-paris-2?osq=restaurant', 'French')",149 rue Saint-Dominique 75007 Paris France
Les P’tites Indécises,https://www.yelp.com/biz/les-p-tites-ind%C3%A9cises-paris-5?osq=restaurant,"('Les P’tites Indécises', 'https://www.yelp.com/biz/les-p-tites-ind%C3%A9cises-paris-5?osq=restaurant', 'French')",2 rue des 3 bornes 75011 Paris France
F T G,https://www.yelp.com/biz/f-t-g-paris?osq=restaurant,Burgers - Ice Cream & Frozen Yogurt,9 rue du Nil 75002 Paris France
Urfa Dürüm,https://www.yelp.com/biz/urfa-d%C3%BCr%C3%BCm-paris-2?osq=restaurant,Middle Eastern - Turkish,56 rue du Faubourg Saint-Denis 75010 Paris France
Kotteri Ramen Naritake,https://www.yelp.com/biz/kotteri-ramen-naritake-paris?osq=restaurant,"('Kotteri Ramen Naritake', 'https://www.yelp.com/biz/kotteri-ramen-naritake-paris?osq=restaurant', 'Ramen')",31 Rue Petits Champs 75001 Paris France
Le Bambou,https://www.yelp.com/biz/le-bambou-paris?osq=restaurant,"('Le Bambou', 'https://www.yelp.com/biz/le-bambou-paris?osq=restaurant', 'Vietnamese')",70 rue Baudricourt 75013 Paris France
Café des Anges,https://www.yelp.com/biz/caf%C3%A9-des-anges-paris?osq=restaurant,"('Café des Anges', 'https://www.yelp.com/biz/caf%C3%A9-des-anges-paris?osq=restaurant', 'French')",66 rue de la Roquette 75011 Paris France
Factory & Co,https://www.yelp.com/biz/factory-et-co-paris-2?osq=restaurant,Bagels - Burgers,23 cour Saint-Emilion 75012 Paris France
HD Diner,https://www.yelp.com/biz/hd-diner-paris-2?osq=restaurant,"('HD Diner', 'https://www.yelp.com/biz/hd-diner-paris-2?osq=restaurant', 'Diners')",25 rue Francisque Gay 75006 Paris France
Le Bistro Marbeuf,https://www.yelp.com/biz/le-bistro-marbeuf-paris?osq=restaurant,French - Lyonnais,21 rue Marbeuf 75008 Paris France
A la Biche au Bois,https://www.yelp.com/biz/a-la-biche-au-bois-paris-2?osq=restaurant,"('A la Biche au Bois', 'https://www.yelp.com/biz/a-la-biche-au-bois-paris-2?osq=restaurant', 'French')",45 avenue Ledru Rollin 75012 Paris France
Ferdi,https://www.yelp.com/biz/ferdi-paris?osq=restaurant,French - Spanish,32 rue du Mont Thabor 75001 Paris France
Café Beaujolais,https://www.yelp.com/biz/caf%C3%A9-beaujolais-paris?osq=restaurant,"('Café Beaujolais', 'https://www.yelp.com/biz/caf%C3%A9-beaujolais-paris?osq=restaurant', 'French')",28 avenue de Suffren 75015 Paris France
Happy Nouilles,https://www.yelp.com/biz/happy-nouilles-paris-2?osq=restaurant,"('Happy Nouilles', 'https://www.yelp.com/biz/happy-nouilles-paris-2?osq=restaurant', 'Chinese')",95 rue Beaubourg 75003 Paris France
Chez André,https://www.yelp.com/biz/chez-andr%C3%A9-paris-3?osq=restaurant,"('Chez André', 'https://www.yelp.com/biz/chez-andr%C3%A9-paris-3?osq=restaurant', 'French')",12 rue Marbeuf 75008 Paris France
Le Petit Pontoise,https://www.yelp.com/biz/le-petit-pontoise-paris?osq=restaurant,"('Le Petit Pontoise', 'https://www.yelp.com/biz/le-petit-pontoise-paris?osq=restaurant', 'Bistros')",9 rue de Pontoise 75005 Paris France
Chez Hanna,https://www.yelp.com/biz/chez-hanna-paris?osq=restaurant,Kosher - Middle Eastern,54 rue des Rosiers 75004 Paris France
Sapporo,https://www.yelp.com/biz/sapporo-paris-6?osq=restaurant,"('Sapporo', 'https://www.yelp.com/biz/sapporo-paris-6?osq=restaurant', 'Japanese')",37 rue Sainte-Anne 75001 Paris France
Osteria Da Fortunata,https://www.yelp.com/biz/osteria-da-fortunata-roma?osq=restaurant,Roman - Trattorie,Via del Pellegrino 11 00186 Rome Italy
Sapori e Delizie,https://www.yelp.com/biz/sapori-e-delizie-roma-2?osq=restaurant,"('Sapori e Delizie', 'https://www.yelp.com/biz/sapori-e-delizie-roma-2?osq=restaurant', 'Pizza')",Via Giovanni Lanza 102 00184 Rome Italy
Cantina e Cucina,https://www.yelp.com/biz/cantina-e-cucina-roma?osq=restaurant,Cafeteria - Pizza,Via del Governo Vecchio 87 00186 Rome Italy
That’s Amore,https://www.yelp.com/biz/thats-amore-roma-2?osq=restaurant,Italian - Pizza,Via in Arcione 115 00187 Rome Italy
Frigidarium,https://www.yelp.com/biz/frigidarium-roma?osq=restaurant,Ice Cream & Frozen Yogurt - Desserts,Via del Governo Vecchio 112 00186 Rome Italy
Pizzarium Gabriele Bonci,https://www.yelp.com/biz/pizzarium-gabriele-bonci-roma?osq=restaurant,"('Pizzarium Gabriele Bonci', 'https://www.yelp.com/biz/pizzarium-gabriele-bonci-roma?osq=restaurant', 'Pizza')",Via della Meloria 43 00136 Rome Italy
Da Francesco,https://www.yelp.com/biz/da-francesco-roma?osq=restaurant,Italian - Pizza,Piazza del Fico 29 00186 Rome Italy
Cantina dei Papi,https://www.yelp.com/biz/cantina-dei-papi-roma?osq=restaurant,Wine Bars - Italian,Via della Panetteria 34A 00187 Rome Italy
Osteria Quarantaquattro,https://www.yelp.com/biz/osteria-quarantaquattro-roma?osq=restaurant,"('Osteria Quarantaquattro', 'https://www.yelp.com/biz/osteria-quarantaquattro-roma?osq=restaurant', 'Italian')",Via Aureliana 42 00187 Rome Italy
Dar Poeta,https://www.yelp.com/biz/dar-poeta-roma?osq=restaurant,Pizza - Roman,Vicolo del Bologna 45 00153 Rome Italy
Ai Tre Scalini,https://www.yelp.com/biz/ai-tre-scalini-roma?osq=restaurant,Wine Bars - Italian,Via Panisperna 251 00184 Rome Italy
Alessio,https://www.yelp.com/biz/alessio-roma-5?osq=restaurant,Roman - Wine Bars,Via del Viminale 2G 00184 Rome Italy
Da Enzo al 29,https://www.yelp.com/biz/da-enzo-al-29-roma-2?osq=restaurant,"('Da Enzo al 29', 'https://www.yelp.com/biz/da-enzo-al-29-roma-2?osq=restaurant', 'Roman')",Via dei Vascellari 29 00153 Rome Italy
Roscioli,https://www.yelp.com/biz/roscioli-roma-4?osq=restaurant,Salumerie - Italian,Via dei Giubbonari 21 00186 Rome Italy
Tonnarello,https://www.yelp.com/biz/tonnarello-roma?osq=restaurant,Desserts - Roman,Via della Paglia 1 00153 Rome Italy
Mamma Angela’s Trattoria,https://www.yelp.com/biz/mamma-angelas-trattoria-roma-4?osq=restaurant,Trattorie - Roman,Via Palestro 53 00185 Rome Italy
Hostaria La Botticella,https://www.yelp.com/biz/hostaria-la-botticella-roma?osq=restaurant,Roman - Trattorie,Vicolo del Leopardo 39A 00153 Rome Italy
Sant’ Eustachio Il Caffè,https://www.yelp.com/biz/sant-eustachio-il-caff%C3%A8-roma-2?osq=restaurant,Cafes - Coffee Roasteries,Piazza Sant'Eustachio 81 00186 Rome Italy
Grazia & Graziella,https://www.yelp.com/biz/grazia-e-graziella-roma-2?osq=restaurant,Roman - Trattorie,Largo Fumasoni Biondi 5 00153 Rome Italy
La Casa del Tazza d’Oro,https://www.yelp.com/biz/la-casa-del-tazza-d-oro-roma?osq=restaurant,Coffee & Tea - Cafes,Via degli Orfani 84 00186 Rome Italy
Pizza Zizza,https://www.yelp.com/biz/pizza-zizza-roma-2?osq=restaurant,Pizza - Cafeteria,Via delle Fornaci 11 00165 Rome Italy
Amedeo Ristorante,https://www.yelp.com/biz/amedeo-ristorante-roma?osq=restaurant,"('Amedeo Ristorante', 'https://www.yelp.com/biz/amedeo-ristorante-roma?osq=restaurant', 'Italian')",Via Principe Amedeo 16 00185 Rome Italy
Pane e Salame,https://www.yelp.com/biz/pane-e-salame-roma-2?osq=restaurant,Wine Bars - Sandwiches,Via di Santa Maria in Via 19 00187 Rome Italy
Osteria Barberini,https://www.yelp.com/biz/osteria-barberini-roma?osq=restaurant,Seafood - Roman,Via della Purificazione 21 00187 Rome Italy
Il Chianti,https://www.yelp.com/biz/il-chianti-roma?osq=restaurant,Wine Bars - Tuscan,Via del Lavatore 81 00187 Rome Italy
Pane & Vino,https://www.yelp.com/biz/pane-e-vino-roma-4?osq=restaurant,Sandwiches - Italian,Via Ostilia 10 00184 Rome Italy
Life,https://www.yelp.com/biz/life-roma?osq=restaurant,"('Life', 'https://www.yelp.com/biz/life-roma?osq=restaurant', 'Italian')",Via della Vite 28 00187 Rome Italy
Trattoria Vecchia Roma,https://www.yelp.com/biz/trattoria-vecchia-roma-roma?osq=restaurant,Roman - Trattorie,Via Ferruccio 12B 00185 Rome Italy
Al Forno della Soffitta,https://www.yelp.com/biz/al-forno-della-soffitta-roma-2?osq=restaurant,Pizza - Napoletana,Via Piave 62 00187 Rome Italy
La Tavernetta 48,https://www.yelp.com/biz/la-tavernetta-48-roma?osq=restaurant,"('La Tavernetta 48', 'https://www.yelp.com/biz/la-tavernetta-48-roma?osq=restaurant', 'Italian')",Via degli Spagnoli 48 00186 Rome Italy
Da Baffetto,https://www.yelp.com/biz/da-baffetto-roma?osq=restaurant,Pizza - Roman,Via del Governo Vecchio 114 00186 Rome Italy
Pinsere,https://www.yelp.com/biz/pinsere-roma?osq=restaurant,"('Pinsere', 'https://www.yelp.com/biz/pinsere-roma?osq=restaurant', 'Pizza')",Via Flavia 98 00187 Rome Italy
Caffè Vaticano,https://www.yelp.com/biz/caff%C3%A8-vaticano-roma-2?osq=restaurant,"('Caffè Vaticano', 'https://www.yelp.com/biz/caff%C3%A8-vaticano-roma-2?osq=restaurant', 'Italian')",Viale Vaticano 100 00165 Rome Italy
Piccolo Buco,https://www.yelp.com/biz/piccolo-buco-roma?osq=restaurant,"('Piccolo Buco', 'https://www.yelp.com/biz/piccolo-buco-roma?osq=restaurant', 'Italian')",Via del Lavatore 91 00187 Rome Italy
Nonna Betta,https://www.yelp.com/biz/nonna-betta-roma?osq=restaurant,Roman - Vegetarian,Via del Portico d'Ottavia 16 00186 Rome Italy
Cul de Sac,https://www.yelp.com/biz/cul-de-sac-roma?osq=restaurant,Wineries - Seafood,Piazza Pasquino 73 00186 Rome Italy
Luzzi,https://www.yelp.com/biz/luzzi-roma-2?osq=restaurant,Pizza - Roman,Via di San Giovanni in Laterano 88 00184 Rome Italy
Open Baladin,https://www.yelp.com/biz/open-baladin-roma-2?osq=restaurant,Breweries - Sandwiches,Via degli Specchi 6 00186 Rome Italy
Taverna Trilussa,https://www.yelp.com/biz/taverna-trilussa-roma?osq=restaurant,Roman - Bars,Via del Politeama 23 00153 Rome Italy
Pasta Chef,https://www.yelp.com/biz/pasta-chef-roma?osq=restaurant,Italian - Fast Food,Via Baccina 42 00184 Rome Italy
Piccolo Arancio,https://www.yelp.com/biz/piccolo-arancio-roma-2?osq=restaurant,"('Piccolo Arancio', 'https://www.yelp.com/biz/piccolo-arancio-roma-2?osq=restaurant', 'Roman')",Vicolo Scanderbeg 112 00187 Rome Italy
Della Palma,https://www.yelp.com/biz/della-palma-roma?osq=restaurant,Ice Cream & Frozen Yogurt - Desserts,Via della Maddalena 19 00186 Rome Italy
Emma Pizzeria,https://www.yelp.com/biz/emma-pizzeria-roma?osq=restaurant,Pizza - Roman,Via dei Monti della Farina 28 00186 Rome Italy
Su e Giu Cucina Romana,https://www.yelp.com/biz/su-e-giu-cucina-romana-roma?osq=restaurant,"('Su e Giu Cucina Romana', 'https://www.yelp.com/biz/su-e-giu-cucina-romana-roma?osq=restaurant', 'Italian')",Via Tacito 42 00193 Rome Italy
Hostaria Romana,https://www.yelp.com/biz/hostaria-romana-roma?osq=restaurant,"('Hostaria Romana', 'https://www.yelp.com/biz/hostaria-romana-roma?osq=restaurant', 'Italian')",Via del Boccaccio 1 00187 Rome Italy
Mimì e Cocò,https://www.yelp.com/biz/mim%C3%AC-e-coc%C3%B2-roma-3?osq=restaurant,Italian - Wine Bars,Via del Governo Vecchio 72 00186 Rome Italy
Pizzeria San Marco,https://www.yelp.com/biz/pizzeria-san-marco-roma-2?osq=restaurant,Pizza - Italian,Via Sardegna 38D 00187 Rome Italy
Roma Sparita,https://www.yelp.com/biz/roma-sparita-roma-2?osq=restaurant,Pizza - Roman,Piazza Santa Cecilia 24 00153 Rome Italy
Pastasciutta,https://www.yelp.com/biz/pastasciutta-roma?osq=restaurant,Pasta Shops - Fast Food,Via delle Grazie 5 00193 Rome Italy
Cacio e Pepe,https://www.yelp.com/biz/cacio-e-pepe-roma?osq=restaurant,"('Cacio e Pepe', 'https://www.yelp.com/biz/cacio-e-pepe-roma?osq=restaurant', 'Italian')",Via Giuseppe Avezzana 11 00195 Rome Italy
Rifugio Romano,https://www.yelp.com/biz/rifugio-romano-roma?osq=restaurant,Pizza - Italian,Via Volturno 39 00185 Rome Italy
La Taverna dei Fori Imperiali,https://www.yelp.com/biz/la-taverna-dei-fori-imperiali-roma?osq=restaurant,Italian - Gluten-Free,Via della Madonna dei Monti 9 00184 Rome Italy
Forno Campo de’ Fiori,https://www.yelp.com/biz/forno-campo-de-fiori-roma?osq=restaurant,Pizza - Roman,Piazza Campo de' Fiori 22 00186 Rome Italy
Da Vito e Dina,https://www.yelp.com/biz/da-vito-e-dina-roma?osq=restaurant,"('Da Vito e Dina', 'https://www.yelp.com/biz/da-vito-e-dina-roma?osq=restaurant', 'Roman')",Via degli Scipioni 50 00192 Rome Italy
La Vecchia Locanda,https://www.yelp.com/biz/la-vecchia-locanda-roma?osq=restaurant,"('La Vecchia Locanda', 'https://www.yelp.com/biz/la-vecchia-locanda-roma?osq=restaurant', 'Italian')",Vicolo Sinibaldi 2 00186 Rome Italy
Il Corallo,https://www.yelp.com/biz/il-corallo-roma?osq=restaurant,Pizza - Italian,Via del Corallo 10 00186 Rome Italy
Sette Oche,https://www.yelp.com/biz/sette-oche-roma-2?osq=restaurant,Pizza - Roman,Via dei Salumi 36 00153 Rome Italy
Sorpasso,https://www.yelp.com/biz/sorpasso-roma?osq=restaurant,Italian - Wine Bars,Via Properzio 31 00193 Rome Italy
Alfredo alla Scrofa,https://www.yelp.com/biz/alfredo-alla-scrofa-roma?osq=restaurant,Italian - Mediterranean,Via della Scrofa 104A 00186 Rome Italy
Bir & Fud,https://www.yelp.com/biz/bir-and-fud-roma-2?osq=restaurant,Pizza - Breweries,Via Benedetta 23 00153 Rome Italy
Hard Rock Cafe,https://www.yelp.com/biz/hard-rock-cafe-roma-5?osq=restaurant,American - Cafes,Via Vittorio Veneto 62A 00187 Rome Italy
Felice a Testaccio,https://www.yelp.com/biz/felice-a-testaccio-roma?osq=restaurant,Roman - Trattorie,Via Mastro Giorgio 29 00153 Rome Italy
Maccheroni,https://www.yelp.com/biz/maccheroni-roma-2?osq=restaurant,"('Maccheroni', 'https://www.yelp.com/biz/maccheroni-roma-2?osq=restaurant', 'Roman')",Piazza delle Coppelle 44 00186 Rome Italy
Antico Caffè Greco,https://www.yelp.com/biz/antico-caff%C3%A8-greco-roma-4?osq=restaurant,Cafes - Italian,Via dei Condotti 86 00187 Rome Italy
Sofia,https://www.yelp.com/biz/sofia-roma?osq=restaurant,Italian - Mediterranean,Via di Capo le Case 51 00187 Rome Italy
