Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Ischtar-Tor,https://fr.foursquare.com/v/ischtartor/528c91cc11d2f34bf9689cb5,https://fastly.4sqi.net/img/general/300x300/43772001_6JzRVisqdia70fGb-rh9KRHO0Is-uylUUFxpf9k6aNA.jpg,9.3,31,Exposition,,"Am Kupfergraben 5, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/134358150-W2DZJCDQV232R0FW.jpg,"Samantha B. • Juillet 26, 2017
Stunning historical beauty. Wheelchair accessible and worth seeing.","Samantha B. • Juillet 26, 2017",https://fr.foursquare.com/samanthb6200218,Samantha B.
Buchhandlung Walther König,https://fr.foursquare.com/v/buchhandlung-walther-k%C3%B6nig/4c3caf727c1ee21e63ea8c71,https://fastly.4sqi.net/img/general/300x300/1895422_IRYLV8kG05uYKFy86y_Pvr3eAPy741LDX33-xeUy_zw.jpg,9.3,32,Librairie,,"Burgstr. 27, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/LT1NGXMEOX4Z1D0W.png,"Jesper C. • Mai 10, 2011
Enormous selection on art, photo, architecture, design, philosophy and literary criticism.","Jesper C. • Mai 10, 2011",https://fr.foursquare.com/thabz,Jesper C.
Wochenmarkt am Maybachufer,https://fr.foursquare.com/v/wochenmarkt-am-maybachufer/4adcda8ef964a520a44a21e3,https://fastly.4sqi.net/img/general/300x300/50003959_f4Yu8qr291q-BMmcQjBSLiw1rIIuWH6mvcxQXgHSAf4.jpg,9.3,33,Marché fermier,€€€€,"Maybachufer (Schinkestr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/435102819_jvh14DwY_S-uOl5nGXmeMfoEDxEDyOEhqEQtVM9N2kKw0aAbtntm6lfvwq_03QMT9QX7ieOwl.jpg,"Anne F. • Août 5, 2017
Marché turc vraiment très sympa au bord de l'eau, avec...","Anne F. • Août 5, 2017",https://fr.foursquare.com/annef5996036,Anne F.
Facciola,https://fr.foursquare.com/v/facciola/5394c03a498e82b504ad7a95,https://fastly.4sqi.net/img/general/300x300/436304801_SJMx_z5Iz-gSdcpEQTLkedDYKTH-O1UBu0YV41lzzuA.jpg,9.3,34,Bar à vins,€€€€,"Forster Str. 5, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/92890979-WVQLCJNQS5MZZ0KO.jpg,"Santo D. • Juillet 26, 2018
A great selection of Italian wines, accompanied by thoroughly curated appetizers/ dishes and served by very knowledgeable as well as very friendly staff","Santo D. • Juillet 26, 2018",https://fr.foursquare.com/santod7681736,Santo D.
Park am Gleisdreieck - Westpark,https://fr.foursquare.com/v/park-am-gleisdreieck--westpark/4c658e84b80abe9ab391cae5,https://fastly.4sqi.net/img/general/300x300/31021445_DLAPmpaDZYoetQQQAW695eNGi8D2GPNUyRHE7fJoY8I.jpg,9.3,35,Parc,,"Flottwellstr. (Schöneberger Ufer), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/-UN0WQIC5GYIJJDOF.jpg,"olegflo • Août 21, 2016
Great clean park in the heart of Berlin. Good for chilling or doing sport.","olegflo • Août 21, 2016",https://fr.foursquare.com/olegflo,olegflo
Gorki Apartments,https://fr.foursquare.com/v/gorki-apartments/543b73fd498e65a9a111ffb4,https://fastly.4sqi.net/img/general/300x300/630849_6XPzCpFDOVdG2NINGtdnqV-K2OJNz0MOJOuzzKlvsV8.jpg,9.3,36,Agence de location de vacances,,"Weinbergsweg 25, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/4IRCYHI2AC5QSGNH.jpg,"Elodie P. • Août 29, 2014
Very nice place to stay: well-located, great staff, fully equipped. Apartment with balcony is a good choice.","Elodie P. • Août 29, 2014",https://fr.foursquare.com/elodiepoirier,Elodie P.
Lager Lager,https://fr.foursquare.com/v/lager-lager/561bebfd498e206396f53e59,https://fastly.4sqi.net/img/general/300x300/62016467_0OLvDtu4FCHvUD_kEGTTpdn6Bu_0Dt9eMsZHW2aLbpM.jpg,9.3,37,Magasin de vente de bière,€€€€,"Pflügerstr. 68, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/10480381-DIZEH5YQNKPTJK4I.jpg,"Anders Martin • Juin 10, 2016
Great selection from all of the most important microbreweries. Cosy beerstore in Berlin. You can drink there, take a chair outside in the sun or just shop and go home. Stylish, easy. I love it.","Anders Martin • Juin 10, 2016",https://fr.foursquare.com/andersma2502432,Anders Martin
Kammermusiksaal | Chamber Music Hall,https://fr.foursquare.com/v/kammermusiksaal--chamber-music-hall/4adcda8bf964a520e34921e3,https://fastly.4sqi.net/img/general/300x300/204920466_9zAEcSaprcW7okr_ui_lLpGrhkpVtvqanW05-QoALwc.jpg,9.3,38,Salle de concert,,"Herbert-von-Karajan-Str. 1, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/R0ZWOOAFKT2FQAPR.jpg,"Enzo M. • Juin 17, 2018
Modern concert hall with beautiful architecture","Enzo M. • Juin 17, 2018",https://fr.foursquare.com/enzomartinelli,Enzo M.
Urbanhafen,https://fr.foursquare.com/v/urbanhafen/4c30e8f07cc0c9b6ad0bee9a,https://fastly.4sqi.net/img/general/300x300/116252_TmL7S0xg1x8Hm_KzQxxPugL2GLbnvL6lMfAI0Q0B6wA.jpg,9.3,39,Front de mer,,"Carl-Herz-Ufer (Planufer), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/VQGM5XV1ZFVSZSXG.jpg,"Marc V. • Juin 30, 2012
J'ai réellement plus envie de rentrer dans un pays de c...","Marc V. • Juin 30, 2012",https://fr.foursquare.com/marcvama,Marc V.
Goldhahn & Sampson,https://fr.foursquare.com/v/goldhahn--sampson/5662b4d1498e22046910eb23,https://fastly.4sqi.net/img/general/300x300/21327419_V8SUMSV_huMVkrSXy-mrzjuihMnz8Z9bceKWoF3rC_E.jpg,9.3,40,Gastronomique,,"Wilmersdorfer Str. 102, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/Z2ZO1CFHLM3CAEKS.jpg,"Tobias S. • Février 9, 2019
Good selection of tasty things from around the world. Also has a small coffee bar that brews up very good espresso. A little on the pricey side.","Tobias S. • Février 9, 2019",https://fr.foursquare.com/tobiass1167837,Tobias S.
Klunkerkranich,https://fr.foursquare.com/v/klunkerkranich/51bb5e86498e3e2a6276f20f,https://fastly.4sqi.net/img/general/300x300/2282433_51eOUg09MpCpQN9GXoPNOCa_IIQYAOD0MkkDswBBUoA.jpg,9.2,41,Café en plein air,€€€€,"Karl-Marx-Str. 66, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/UYC1YNUNAIZEHZOX.jpg,"Giulia D. • Septembre 25, 2015
L'une des plus belles vues de Berlin sur un Rooftop!","Giulia D. • Septembre 25, 2015",https://fr.foursquare.com/giugermanotta8,Giulia D.
Taqueria El Oso,https://fr.foursquare.com/v/taqueria-el-oso/60f1629bf919ed39df7166ce,https://fastly.4sqi.net/img/general/300x300/5797122_p8aOvvF0WJqujqJVFsWwjTD7PCgG74guW5c3JMU7JE8.jpg,9.2,42,Tacos,€€€€,"Schönhauser Allee 177c, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/580244934_aCpXXDmg_wYHlhB8_8m8GEslztpFADtovxNZFcuRE_ICxF16VbZ3MHkiMKI8do__0_OZStXic.jpg,"Mat • Mai 14, 2022
Great street food vibe. Sit outside enjoying a few beers and really great food. Very relaxed place","Mat • Mai 14, 2022",https://fr.foursquare.com/mat7161439,Mat
Körnerpark,https://fr.foursquare.com/v/k%C3%B6rnerpark/4c34889b66e40f47b7a4c98b,https://fastly.4sqi.net/img/general/300x300/35008435_1CuBVBqheboLYnhROIJ5r3JfwKRHUcMXagCHzp0Lyh8.jpg,9.2,43,Parc,,"Schierker Str. (Wittmannsdorfer Str.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/742900-SRZXB3EXIXNE43SS.jpg,"Denis M. • Août 6, 2014
Great park hidden under ground level. A must go for chillaxing. Grass perfectly cutted.","Denis M. • Août 6, 2014",https://fr.foursquare.com/denmrc,Denis M.
Richardplatz,https://fr.foursquare.com/v/richardplatz/4c17d966834e2d7fa3fd2780,https://fastly.4sqi.net/img/general/300x300/57999808_igYosLTFfzpkTvRuBpkwJ5ai3E9znp2fahe5BU8rRfs.jpg,9.2,44,Place,,"Richardplatz (Richardstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/431992761_bvQNaQe5_FTXpWDL1wcQgbwU-USxBM2kev3nnYpoVoJyp-olzGO5G2qYqTKEk9tEuPKeU2O_v.jpg,"Andreas S. • Décembre 12, 2017
Schöner Platz mit der ältesten Kapelle von Berlin. Traumhafter Weihnachtsmarkt.","Andreas S. • Décembre 12, 2017",https://fr.foursquare.com/beulchen69,Andreas S.
Shakespeare and Sons,https://fr.foursquare.com/v/shakespeare-and-sons/536509dd498e22fa4caabefa,https://fastly.4sqi.net/img/general/300x300/61448870_TkRW7HwpyJ1DeFJwqJKxfd5LEZqy1Jo41yyow6rG0UU.jpg,9.2,45,Librairie,,"Warschauer Str. 74 (Grünberger Str.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/R1RJWWFFT5NFPVV1.png,"Tom M. • Novembre 2, 2015
Lovely laid-back place to get some work done or browse the smart selection of English language books. Serviceable wifi, decent enough coffee and very tasty bagels indeed (still a rarity in Europe).","Tom M. • Novembre 2, 2015",https://fr.foursquare.com/tomm9127363,Tom M.
Volkspark am Weinberg,https://fr.foursquare.com/v/volkspark-am-weinberg/4bb5fd0f2f70c9b659b78430,https://fastly.4sqi.net/img/general/300x300/110729968_9rOeO88_ZR86OX71e3rFCv_YMbXboQkt9-ptVdIQEXc.jpg,9.2,46,Parc,,"Veteranenstr. (Brunnenstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/145391864_4F77vq-h_UrJTLDS6u2KGwnumfBJ4YzvUQHA9D0ebCKDMWPR3fmo6iQv87balrrEuQ-38o263.jpg,"Mohammed G. • Mars 26, 2016
Great spot for a sunny day. Also one of the few parks where you can actually hangout at night.","Mohammed G. • Mars 26, 2016",https://fr.foursquare.com/mohammeg6929570,Mohammed G.
Muted Horn,https://fr.foursquare.com/v/muted-horn/57b8a66ccd10ab004e256f6c,https://fastly.4sqi.net/img/general/300x300/475074607_suzxNXKwlvmtJRMRuwrMeqDWqte91hl-T0eR_8LWy2M.jpg,9.2,47,Bar à bières,,"Flughafenstr. 49 (Hermannstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/165900270-34HO5AJBDZ1F35NH.jpg,"Wellesley B. • Juin 2, 2019
Good variety of craft beers, nice place to hang out and friendly staff! Also has board games you can play","Wellesley B. • Juin 2, 2019",https://fr.foursquare.com/welleslb4251639,Wellesley B.
Michelberger Hotel,https://fr.foursquare.com/v/michelberger-hotel/4aeae4aef964a52074bc21e3,https://fastly.4sqi.net/img/general/300x300/493964668_PrFVgKBenlYMYWdzzV_f_E5qLPgK8lemSTXnjPllivo.jpg,9.2,48,Hôtel,,"Warschauer Str. 39-40, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/CSVE1LCGU1R414NP.jpg,"Robby M. • Décembre 20, 2010
Come on a Sunday night, and blend in with the berlin scene and live music. We're loving it!","Robby M. • Décembre 20, 2010",https://fr.foursquare.com/robbym9510966,Robby M.
25hours Hotel Bikini Berlin,https://fr.foursquare.com/v/25hours-hotel-bikini-berlin/4db6b5930f2cc52c21187664,https://fastly.4sqi.net/img/general/300x300/43286922_4Q1ZynJXm6NZF3ik54dorVMLFXH3kckvE7xqzdMx21c.jpg,9.2,49,Hôtel,,"Budapester Str. 40, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/0YLC3XJOUSVLBWHH.jpg,"Alex SJ • Mars 3, 2015
Cool atmosphere, hip design, and friendly staff. Love the location too!","Alex SJ • Mars 3, 2015",https://fr.foursquare.com/alexsj4139813,Alex SJ
Club Olympus Spa & Fitness,https://fr.foursquare.com/v/club-olympus-spa--fitness/4b832300f964a520c6f930e3,,9.2,50,Salle de sport,,"Marlene-Dietrich-Platz 2, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/ELA2Y0GZPEZ1GYPC.jpg,"David M. • Février 1, 2015
Views from pool are amazing, so bring a good read and relax.","David M. • Février 1, 2015",https://fr.foursquare.com/davidm6383624,David M.
Viktoria-Luise-Platz,https://fr.foursquare.com/v/viktorialuiseplatz/4b1673f7f964a52043b923e3,https://fastly.4sqi.net/img/general/300x300/129955139_5HY1U_ydYNdVR_q0LWV7AJTaStGqxAWZIzW04Eer8Gg.jpg,9.2,51,Place,,"Motzstr. (Winterfeldtstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/149421631-QE1BF50RLPKSKUBC.jpg,"William S. • Janvier 26, 2020
Quiet small square, very nice. Good to walk with the dog!","William S. • Janvier 26, 2020",https://fr.foursquare.com/williams8571460,William S.
Pierre Boulez Saal,https://fr.foursquare.com/v/pierre-boulez-saal/57018779498e52f43091af88,https://fastly.4sqi.net/img/general/300x300/26117079_WlBEnBoy5J31Mvyi4wRpJVXRr3p7NoOA5k1IhM0sIT8.jpg,9.2,52,Salle de concert,,"Französische Str. 33d, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/13176727_mWmyFEDK_elbz7pWFEAFiZvMU_RTfi3LUBcWpnwdz89i-C-CrFRsNBJHTLiotKZboNwcO8POR.jpg,"Vincenzo S. • Novembre 20, 2019
Una delle più belle sale concerti di Berlino nonché sede della Akademie Barenboim-Said.","Vincenzo S. • Novembre 20, 2019",https://fr.foursquare.com/vincenzs9284958,Vincenzo S.
C/O Berlin,https://fr.foursquare.com/v/co-berlin/5228b7737e484ee899dce79b,https://fastly.4sqi.net/img/general/300x300/1437985_PC6b8YtDOPmj9l-NWLt-cbO2f2PJwrvXBC5lSVDvAl8.jpg,9.2,53,Musée d'art,€€€€,"Hardenbergstr. 22-24, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/92890979-WVQLCJNQS5MZZ0KO.jpg,"Santo D. • Juin 25, 2015
Great exhibitions, but their café is one of the best coffee shops in Charlottenburg. Stylish, superb cappuccino and a huge variety of little snacks","Santo D. • Juin 25, 2015",https://fr.foursquare.com/santod7681736,Santo D.
Funkhaus Berlin,https://fr.foursquare.com/v/funkhaus-berlin/4b856a7cf964a5205c5c31e3,https://fastly.4sqi.net/img/general/300x300/151577284_AyPjT2DNeTr1QaIyJsCT7wCHN6b6j1P7f7tRaqo4eY4.jpg,9.2,54,Salle de concert,,"Nalepastr. 18, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/8082555_D4CHMVAV_-VlU57xA4ZHEPS5aSBBUST7hojW_BsKfydnwQVYTIk_9vF-0g0NfzCOYnQ0fA-aw,"Jochen S. • Décembre 17, 2017
Best acoustic in town","Jochen S. • Décembre 17, 2017",https://fr.foursquare.com/jothehorse,Jochen S.
BEN RAHIM,https://fr.foursquare.com/v/ben-rahim/5513bfb5498ea118a7b91102,https://fastly.4sqi.net/img/general/300x300/121529_0BhUibeBeZcD8Z-kgJKqYglLuGMxs7_pNR2W3wl6LGk.jpg,9.2,55,Coffee Shop,€€€€,"Sophienstr. 7, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_boy.png,"Tom D. • Juillet 9, 2018
La serveuse n'est vraiment vraiment pas sympa. Même quand on lui parle en allemand.","Tom D. • Juillet 9, 2018",https://fr.foursquare.com/tomd6876065,Tom D.
Lustgarten,https://fr.foursquare.com/v/lustgarten/4adcda7cf964a5205f4721e3,https://fastly.4sqi.net/img/general/300x300/51908156_wnmKZDxlQMmD0usgoUtXU_IAanS08ibXd2j_a4NzM4Y.jpg,9.2,56,Jardin,,"Am Lustgarten (Schloßplatz), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/45330188_nV43kF33_fw1klAIlRp1MiEtspmoNVTsx2e19hO6nky1eCPdzB2HP0-Ja6xalDxZifdiu5VF-.jpg,"Biohazard75☣️💦 X. • Octobre 27, 2014
des qu il fait beau on peut rester des heures sur la pelouse c est très agréable","Biohazard75☣️💦 X. • Octobre 27, 2014",https://fr.foursquare.com/x6992924,Biohazard75☣️💦 X.
Pomodorino,https://fr.foursquare.com/v/pomodorino/4c1508b9a5eb76b07f98c2b7,https://fastly.4sqi.net/img/general/300x300/71220703_a9LUM04RTCnGhlVjQBFZWvL-CAx_JA1DVtPuj-9kGxA.jpg,9.2,57,Pizza,€€€€,"Straßmannstr. 21, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/113630015-4QGR4DSMV42Q3KSM.jpg,"Charles S. • Avril 20, 2015
La pizza est exceptionnel, un cadre sympathique en face d'un parc! Serveur très aimable","Charles S. • Avril 20, 2015",https://fr.foursquare.com/charless8924126,Charles S.
Jones Ice Cream,https://fr.foursquare.com/v/jones-ice-cream/5747fc35cd109632d5128df6,https://fastly.4sqi.net/img/general/300x300/72339725_CXZxyhpDl9H0O5G5fn2KDhbK789AeoawulwycK596WA.jpg,9.2,58,Glace,€€€€,"Goltzstr. 3, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/360472768-3TDXG3T3DY1ACSTX.jpg,"gcyc • Juin 28, 2018
Perfect. Not too sweet and super creamy.","gcyc • Juin 28, 2018",https://fr.foursquare.com/gcyc9752824,gcyc
Café Komine,https://fr.foursquare.com/v/caf%C3%A9-komine/588cc52851666a083e4cb174,https://fastly.4sqi.net/img/general/300x300/18552002_kVC58741-NzCKgny0wmlJ7kYBPilIyGrBxziFi5XcbU.jpg,9.2,59,Pâtisserie,,"Welserstr. 13-15 (Geisbergstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_boy.png,"A M. • Novembre 15, 2020
The chocolat chaud is amazing. Rich and creamy.The mont blanc interpretation is very good and feels fresh. The matcha Tiramisu is just delicious!","A M. • Novembre 15, 2020",https://fr.foursquare.com/am8812739,A M.
UCI Luxe Kino,https://fr.foursquare.com/v/uci-luxe-kino/5b78632f56837a001c94111b,https://fastly.4sqi.net/img/general/300x300/7901296_xdBKTQxMfESgBQhVfk4c9gDOjUnKHEj7YnehkpGV6BA.jpg,9.2,60,Cinéma,,"Mildred-Harnack-Str. 13 (Mercedes-Platz), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/1119319_nv1aKbzu_d1vyE4igDcs8UBpNVinNfbxbW64iKdjjfGJEY0Mvu7VFbOR-ir8vwAoj3uSwRFcw.jpg,"Jon B. • Octobre 6, 2019
Super comfortable reclining seats! They show a limited selection on films in English without German subtitles.","Jon B. • Octobre 6, 2019",https://fr.foursquare.com/thisisjonbills,Jon B.
Cuore di vetro,https://fr.foursquare.com/v/cuore-di-vetro/51c5bc33498e0d1d9282c2ef,https://fastly.4sqi.net/img/general/300x300/1426124_g15l1zcHHHxG6Idzh71BW3_5h6mtxrFM8pWsJnGPNgs.jpg,9.2,61,Glace,€€€€,"Max-Beer-Str. 33, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_boy.png,"Mel B. • Septembre 24, 2015
Les aperos avec toujours des charcuteries/fromages originaux & de saison directement importés de Triestre avec pain et pesto maison. Tout, tout est très bien dans cet endroit.","Mel B. • Septembre 24, 2015",https://fr.foursquare.com/nanina,Mel B.
Fat Tire Bike Tours,https://fr.foursquare.com/v/fat-tire-bike-tours/4bb8541f1261d13a118fe898,https://fastly.4sqi.net/img/general/300x300/52457151_wOFjVhVe8BfdWew_9VGUbQi_v_jLhtmHK9zuAlOg_8w.jpg,9.2,62,Vélo,,"Panoramastr. 1a, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/41526289_MO0gbvuV_ZIxfo_47NTpY1FuR8WVmmcGZN-CAJDM577Ng_ylDyH2F0q4_YjeXlUI-d9yD10Rg,"Elena V. • Octobre 12, 2015
THE tour to take when visiting Berlin!! Just amazing!!","Elena V. • Octobre 12, 2015",https://fr.foursquare.com/elenav9172096,Elena V.
Lerchen und Eulen,https://fr.foursquare.com/v/lerchen-und-eulen/4c2113f313c00f47586785de,https://fastly.4sqi.net/img/general/300x300/462088323_d7qPWLE66pEo6bODPDIS9hOg0bOE5pECFRvuriy_GgI.jpg,9.2,63,Bar,€€€€,"Pücklerstr. 33 (Muskauer Str.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/61024700_XKGKezWJ_W-e5SfCxkjlu20I8qcTrFftI0JPvBP7BnGqjjO2TcB6tE0Ftwotca4WMooGJGwLj.jpg,"Laura P. • Janvier 21, 2016
Amazing atmosphere, cozy and simple, though authentic.","Laura P. • Janvier 21, 2016",https://fr.foursquare.com/laurap6704103,Laura P.
Sammlung Boros,https://fr.foursquare.com/v/sammlung-boros/4afae713f964a520771922e3,https://fastly.4sqi.net/img/general/300x300/36542660_adfg2w6Qt5_TEJujSme5Bu0csKJaWHVbCSLElLtiAi4.jpg,9.2,64,Galerie d'art,€€€€,"Reinhardtstr. 20, Berlin",Enregistrer ,,,,,
Zeit für Brot,https://fr.foursquare.com/v/zeit-f%C3%BCr-brot/4f7d9f5be4b09d309a10e8c0,https://fastly.4sqi.net/img/general/300x300/7660407_qKtn3ItITKBOYqreiy4KC5tGVftpFCLfLFk-dYjf_8g.jpg,9.2,65,Boulangerie,€€€€,"Alte Schönhauser Str. 4, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/438906557_KFoL9qoc_sXgj5sr3fu6dzj6E9saZG5fsl_zY-As1m_H_lwYv9F9vWEWWziQh8QF0LH1-8glb.jpg,"Marianne G. • Août 7, 2017
Très bonnes viennoiseries, cafés etc avec terrasse ds un quartier branché (rosa Luxemburg platz) cerné de boutiques etc! Agréable de commencer la journée la bas! Attention, c'est cher!","Marianne G. • Août 7, 2017",https://fr.foursquare.com/marianng6913209,Marianne G.
Tempelhofer Park,https://fr.foursquare.com/v/tempelhofer-park/500bd425e4b0a62ff4e1bc67,https://fastly.4sqi.net/img/general/300x300/222558231_1J5rSlC7rhgxN8NCHVdWIB-mDfDKsPRioqw0427EUls.jpg,9.2,66,Parc,,"Tempelhofer Damm (Columbiadamm), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/501140-0ZLQTQV0OGESXV5E.jpg,"Ruben H. • Août 11, 2014
The former airport is awesome for: relaxing, BBQ, sports,... . One of my favourite places in Berlin!","Ruben H. • Août 11, 2014",https://fr.foursquare.com/rubenh6110754,Ruben H.
do you read me?!,https://fr.foursquare.com/v/do-you-read-me/4adcda91f964a5209b4b21e3,https://fastly.4sqi.net/img/general/300x300/74258658_qjSOmeJRsEuLDYkYzk4Uz-T9Kf_FipUnkxWSxm9fQ4k.jpg,9.2,67,Librairie,€€€€,"Auguststr. 28, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/10685053-CPQEMG31EUUHDY1I.jpg,"Mariana G. • Février 25, 2015
I could definitely spend a entire day here. What a great art book and magazine selection.","Mariana G. • Février 25, 2015",https://fr.foursquare.com/marianagarcia,Mariana G.
Lietzenseepark,https://fr.foursquare.com/v/lietzenseepark/4f74d4dee4b00a080e4e3908,https://fastly.4sqi.net/img/general/300x300/23756038__ZHuJbStcO2KIP-0qxj15gAMTHpgIznR3fCWg0Ow1Fs.jpg,9.2,68,Parc,,"Neue Kantstr. (Herbartstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/DIWLEA3RLX1DXWNX.jpg,"Katty K. • Décembre 4, 2012
It's a big park with an amazing lake. There's playground for kids and it's also perfect for cooper, cycling or just a nice walking alone, with friends or the dog. And besides, it's very pretty!","Katty K. • Décembre 4, 2012",https://fr.foursquare.com/kattyk1025317,Katty K.
Volkspark Wilmersdorf,https://fr.foursquare.com/v/volkspark-wilmersdorf/4bc9cd37fb84c9b6539c1b3e,https://fastly.4sqi.net/img/general/300x300/31021445__psf7lxZOtbXv-LUP43aMREv_QelcfR4cDqe8GuKNq8.jpg,9.2,69,Parc,,"Bundesallee (Am Volkspark), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/K5RMOLOA1VBROZMK.jpg,"Jennifer W. • Juillet 27, 2015
Great place for all the family. Lots of play areas for kids of all sizes. There's chess tables, table tennis, football, tennis, crazy golf. Plenty of space just to chill out on the grass.","Jennifer W. • Juillet 27, 2015",https://fr.foursquare.com/jennifew1980408,Jennifer W.
Marco Polo Tre,https://fr.foursquare.com/v/marco-polo-tre/531b20cc498e1654696189a7,https://fastly.4sqi.net/img/general/300x300/1397915191_655dD7xcQCCrkuXhtniXImVOXSvfM8LVqdDcxBdhJJ8.jpg,9.2,70,Italien,€€€€,"Oberfeldstr. 26, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/blank_boy.png,"Zosa H. • Février 24
Amazing food and very accommodating staff. If you're craving for great tasting Italian food, you should consider visiting Easttown. I celebrated my birthday here and they gave me a free Panna Cotta.",Zosa H. • Février 24,https://fr.foursquare.com/zosah6316451,Zosa H.
Ankunftshalle Flughafen Tempelhof,https://fr.foursquare.com/v/ankunftshalle-flughafen-tempelhof/50643cd0e4b0512b928c2196,https://fastly.4sqi.net/img/general/300x300/55693_BK0PdgOO1YNQvpzLJhVtyKWa9neXUn6RsEW22xJUb4c.jpg,9.2,71,Site historique et protégé,,"Platz der Luftbrücke, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/411009258_A-CAcleC_WVmLccM3SgfNh6g-uFQLdNTomoe71jtCsX-5OHOSoRTwduzohNMfDLnBkqlGjKCF.jpg,"Paige C. • Avril 21, 2018
Pretty cool, considering how much history has happened here !","Paige C. • Avril 21, 2018",https://fr.foursquare.com/paigec8666854,Paige C.
Herr Lindemann,https://fr.foursquare.com/v/herr-lindemann/59600485123a19106a74b87f,https://fastly.4sqi.net/img/general/300x300/461895628_Rl_uJQ9SNSgg6sYU0fa4i09FRyyNkPA1JDLAINa693M.jpg,9.2,72,Cocktail,€€€€,"Richardplatz 16, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/415936001_lYfha5-C_phmRDSN9BRJWcJ6eNmD-ZY56BoeYX7p6LETHx_JjR9H8eB2F5nSM5TT9XHo0nVHq.jpg,"Samuel W. • Juillet 28, 2017
great atmosphere, drinks and awesome terrace outside! nice to have another addition to Richardplatz","Samuel W. • Juillet 28, 2017",https://fr.foursquare.com/samuelw3178512,Samuel W.
Casablanca,https://fr.foursquare.com/v/casablanca/4a944034f964a520ec2020e3,https://fastly.4sqi.net/img/general/300x300/64164433_bizLXzsWoxEneVAq0n4_W5DW5v217Ta_bcXlbfIA1Lk.jpg,9.2,73,Falafel,€€€€,"Rigaer Str. 25, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/64x64/148247357-CNA5SR2ZETWS5THP.jpg,"Teresa J. • Mars 8, 2019
The shawarmas are just GREAT and cheap! Eveything is clean and the place is really nice and friendly.","Teresa J. • Mars 8, 2019",https://fr.foursquare.com/teresaj7418311,Teresa J.
