Titre,Avis,Type,Price
 Angelo Ristorante Trattoria - Bar,189 avis,"Italienne, Méditerranéenne",€€-€€€
 Sfiziami Italian Bistrot,302 avis,"Italienne, Méditerranéenne",€
 Greco Romano,277 avis,"Méditerranéenne, Grecque",€
 La Piccola Cuccagna,1 476 avis,"Italienne, Méditerranéenne",€€-€€€
 Mare Terra,379 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Passioni di Pasta all'Uovo,279 avis,"Italienne, Méditerranéenne",€
 Tanti Baci Restaurant,255 avis,"Italienne, Méditerranéenne",€€-€€€
 Pizza Florida,1 388 avis,"Italienne, Pizza",€
 Osteria da Fortunata - Rinascimento,1 732 avis,"Italienne, Méditerranéenne",€€-€€€
 VII Coorte,2 454 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Cucineria Duca Re,361 avis,"Italienne, Pizza",€€-€€€
 Ristorante Dogma,125 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 I Gladiatori,733 avis,"Italienne, Pizza",€€-€€€
 Tora Sushi & Asian Cuisine,885 avis,"Japonaise, Fruits de mer et poisson",€€€€
 Grano Trattoria,335 avis,"Italienne, Pizza",€
 Essenza Wine Bar,774 avis,"Italienne, Bar à bières",€€-€€€
 Tonnarello,37 002 avis,"Italienne, Romana",€€-€€€
 Komorebi Japanese Restaurant,224 avis,"Japonaise, Fruits de mer et poisson",€€€€
 Otello,14 514 avis,"Italienne, Romana",€€-€€€
 Nannarella,15 102 avis,"Italienne, Méditerranéenne",€€-€€€
 Piro - Osteria di Pesce,482 avis,"Italienne, Fruits de mer et poisson",€€€€
 Aqualunae Bistrot,594 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Breakfast Club Roma,89 avis,"Bar, Saine",€
 Vecchia Osteria del Gelsomino,998 avis,"Italienne, Méditerranéenne",€€-€€€
 Life Ristorante,4 292 avis,"Italienne, Fruits de mer et poisson",€€€€
 Mama Eat Roma borgo pio,994 avis,"Italienne, Pizza",€
 Pizza della Madonna dei Monti,253 avis,"Italienne, Pizza",€
 Tira e Molla,5 320 avis,"Italienne, Bar",€€-€€€
 Ristorante Pizzeria Andrea,848 avis,Italienne,€
 Berninetta depuis 1930,218 avis,"Italienne, Pizza",€€-€€€
 Unik Restaurant,384 avis,"Italienne, Romana",€€-€€€
 ONE SENSE by Valla,227 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Pinsa 'Mpò,1 498 avis,"Italienne, Pizza",€
 Tosca - Trattoria Pinseria al Viminale 33 Roma,292 avis,"Italienne, Pizza",€€-€€€
 saltimbocca,2 823 avis,"Italienne, Pizza",€€-€€€
 Domusteak,865 avis,"Italienne, Steakhouse",€€-€€€
 Cafè Memè International Bistrot,412 avis,Internationale,€€-€€€
 Pipero Roma,868 avis,"Italienne, Fruits de mer et poisson",€€€€
 Baguetteria del Fico,1 693 avis,"Italienne, Bar à bières",€
 Tiuni Osteria Contemporanea,202 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Pasta e Vino - Via Florida,2 659 avis,"Italienne, Méditerranéenne",€€-€€€
 Trieste Pizza,1 087 avis,"Italienne, Pizza",€
 Pinsere,4 263 avis,"Pizza, Cuisine de rue (street food)",€
 La Tana,708 avis,"Italienne, Méditerranéenne",€€-€€€
 Dar Bello de Nonna Osteria Romana,434 avis,"Italienne, Méditerranéenne",€€-€€€
 Enoteca Trastevere,3 638 avis,"Italienne, Méditerranéenne",€€-€€€
 Arrosticino Pane & Vino,296 avis,"Italienne, Barbecue/Grillades",€€-€€€
 Il Laboratorio della Pizza,508 avis,"Italienne, Pizza",€
 Est Artigiani del Gusto,1 882 avis,"Italienne, Méditerranéenne",€€-€€€
 Dar Bruttone,2 708 avis,"Méditerranéenne, Romana",€€-€€€
 Osteria Padì,605 avis,"Italienne, Fruits de mer et poisson",€
 Angeli Rock,1 513 avis,"Pizza, Latium",€€-€€€
 Ponte e Parione,2 698 avis,"Italienne, Méditerranéenne",€€-€€€
 Feffo,259 avis,"Thé et café, Italienne",€€-€€€
 Osteria La Sol Fa,1 547 avis,"Méditerranéenne, Romana",€€-€€€
 Ai Cocci,435 avis,"Italienne, Pizza",€€-€€€
 Garden Risto,720 avis,"Italienne, Pizza",€€-€€€
 Chiancheria Gourmet,862 avis,"Italienne, Steakhouse",€€-€€€
 La Porta Del Principe,757 avis,"Italienne, Fruits de mer et poisson",€€€€
 Pinsa e Gusto,297 avis,"Italienne, Pizza",€
 Origano Campo de' Fiori,1 674 avis,"Italienne, Pizza",€€-€€€
 Mordi e Vai,814 avis,"Italienne, Restauration rapide",€
 Pizzeria Romana Al Taglio,406 avis,"Italienne, Pizza",€
 Peppo al Cosimato,1 148 avis,"Italienne, Pizza",€€-€€€
 Taverna Lucifero,817 avis,Italienne,€€-€€€
 Saltimbocca San Lorenzo,196 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 le Cicale di Veio,654 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Osteria del Cavaliere,1 853 avis,"Italienne, Méditerranéenne",€€-€€€
 Gustamundo-sede aurelio,352 avis,"Mexicaine, Africaine",€€-€€€
 La Nuova Piazzetta,2 205 avis,"Italienne, Pizza",€€-€€€
 Gli Specialisti,809 avis,"Italienne, Pizza",€€-€€€
 Agrodolce,845 avis,"Italienne, Saine",€€-€€€
 Tiberino,1 546 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 MiVà,2 337 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 LABottega Pastificio con Cucina,541 avis,"Italienne, Méditerranéenne",€
 Popeye Pizza,282 avis,"Italienne, Pizza",€
 Ai Bozzi da Giovanni,1 800 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 La Locanda del Gatto Nero,1 969 avis,"Italienne, Steakhouse",€€-€€€
 Tocco Ferro,313 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Che Pasta!,314 avis,"Italienne, Méditerranéenne",€
 I Sofa Bar Restaurant & Roof Terrace,836 avis,"Italienne, Fruits de mer et poisson",€€€€
 Imàgo,1 232 avis,"Italienne, Méditerranéenne",€€€€
 Pizzeria Mediterranea,364 avis,"Italienne, Pizza",€
 Rosemary - Terra e Sapori,779 avis,"Italienne, Internationale",€€-€€€
 Vanda,340 avis,"Italienne, Méditerranéenne",€€€€
 Il Panzotto,563 avis,"Italienne, Méditerranéenne",€€€€
 Colline Emiliane,2 029 avis,"Italienne, Émilienne",€€-€€€
 Ristorante dei Musei,2 458 avis,"Italienne, Pizza",€
 Vinsanto,188 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Ristorante Sandalia,467 avis,"Italienne, Fruits de mer et poisson",€€€€
 Bar San Marcello,287 avis,"Italienne, Café",€
 Polpetta Trastevere,1 506 avis,"Italienne, Internationale",€€-€€€
 Mama Eat Roma Trastevere,3 702 avis,"Italienne, Pizza",€€-€€€
 La Pace Del Palato,985 avis,"Italienne, Méditerranéenne",€€-€€€
 Spaghetti,1 177 avis,"Italienne, Méditerranéenne",€€-€€€
 Antica Osteria Rugantino,946 avis,Romana,€€-€€€
 Il Segreto,559 avis,"Italienne, Romana",€€-€€€
 Enqutatash African Restaurant,841 avis,"Africaine, Éthiopienne",€€-€€€
 Pizzium - Roma Viale Newton,207 avis,"Italienne, Pizza",€
