Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Studio avec Lit Double,https://cf.bstatic.com/xdata/images/hotel/square600/105523095.webp?k=b75ceb390ae2af85a280bbd862d1f6543fd1923183ba3f93a0916e2be99fc165&o=,Apartments Lucky Place,https://www.booking.com/hotel/hr/apartments-lucky-place.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=244777801_195347188_2_0_0&highlighted_blocks=244777801_195347188_2_0_0&matching_block_id=244777801_195347188_2_0_0&sr_pri_blocks=244777801_195347188_2_0_0__6000&from_sustainable_property_sr=1&from=searchresults&map=1,"Lower Town, Zagreb",1 km du centre,"9,0",Fabuleux  ,1 grand lit double,Plus que 1 à ce prix sur notre site,714 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 1 cuisine • 19m²,€ 60
Chambre Simple avec Salle de Bains Commune,https://cf.bstatic.com/xdata/images/hotel/square600/186154246.webp?k=89b574ab1b0c314a1494005790dcfd8d8bde2d12c357975cc2232289ec29f757&o=,The Dots Hostel,https://www.booking.com/hotel/hr/the-dots-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=158351801_279533577_1_0_0&highlighted_blocks=158351801_279533577_1_0_0&matching_block_id=158351801_279533577_1_0_0&sr_pri_blocks=158351801_279533577_1_0_0__4675&from=searchresults&map=1,"Lower Town, Zagreb",450 m du centre,"9,1",Fabuleux  ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,704 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,"€ 55€ 47
-15 %"
Chambre Deluxe Lit Queen-Size - Non-Fumeurs,https://cf.bstatic.com/xdata/images/hotel/square600/484796345.webp?k=4045239db5d41076207cb42aa5c676aaebd960f220c213b7d598c324da64ba84&o=,Sheraton Zagreb Hotel,https://www.booking.com/hotel/hr/sheratonzagreb.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=1971415_289809869_2_34_0&highlighted_blocks=1971415_289809869_2_34_0&matching_block_id=1971415_289809869_2_34_0&sr_pri_blocks=1971415_289809869_2_34_0__12160&from_sustainable_property_sr=1&from=searchresults&map=1,"Lower Town, Zagreb","0,8 km du centre","8,5",Très bien ,1 grand lit double,,3 893 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 122
Lit dans un dortoir de 4 lits,https://cf.bstatic.com/xdata/images/hotel/square600/172150792.webp?k=aaee2cd76a199711def04b18e45b3cb9011044a5a684a58ccc53c8a0f58927e7&o=,Zagreb Speeka,https://www.booking.com/hotel/hr/zagreb-speeka.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=435544210_205549059_1_0_0&highlighted_blocks=435544210_205549059_1_0_0&matching_block_id=435544210_205549059_1_0_0&sr_pri_blocks=435544210_205549059_1_0_0__2154&from=searchresults&map=1,"Lower Town, Zagreb",450 m du centre,"8,0",Très bien ,1 lit simple,,1 394 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 22
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/338953634.webp?k=275b331f065f3430a7ac1a5516eb2511fcc48bba1ac9ad1cdb45875665366bee&o=,Deluxe Apartments Ria,https://www.booking.com/hotel/hr/chez-ria.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=817641303_344325941_2_0_0&highlighted_blocks=817641303_344325941_2_0_0&matching_block_id=817641303_344325941_2_0_0&sr_pri_blocks=817641303_344325941_2_0_0__5160&from=searchresults&map=1,"Upper Town – Medvescak, Zagreb","0,5 km du centre","9,0",Fabuleux  ,Hébergement géré par un particulier,Plus que 1 à ce prix sur notre site,244 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 52
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/89282538.webp?k=3ca843792028a3481d4d7d0eb79b5820970f79232a840cd0eb16bfdd1f78e38a&o=,Hotel Meridijan16,https://www.booking.com/hotel/hr/meridijan16.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=28997402_377159285_0_1_0&highlighted_blocks=28997402_377159285_0_1_0&matching_block_id=28997402_377159285_0_1_0&sr_pri_blocks=28997402_377159285_0_1_0__7160&from=searchresults&map=1,Zagreb,2 km du centre,"8,2",Très bien ,1 lit simple,Plus que 6 hébergements à ce prix sur notre site,2 729 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 72
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square600/120857355.webp?k=3d6f95a10725f68bf6d520dc677b7905e8f016b2d8f0361b683a00042b59acc6&o=,Hotel Sliško,https://www.booking.com/hotel/hr/slia-ko.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=43212705_190281992_0_2_0&highlighted_blocks=43212705_190281992_0_2_0&matching_block_id=43212705_190281992_0_2_0&sr_pri_blocks=43212705_190281992_0_2_0__7645&from=searchresults&map=1,Zagreb,"1,9 km du centre","8,6",Superbe ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,1 669 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 76
Studio - Non-Fumeurs,https://cf.bstatic.com/xdata/images/hotel/square600/27701958.webp?k=1918ccdb8a1398e7b944d5d06b5549984bfa786d7c7b3b7c5cd83fa11eee9e44&o=,Apartmani Nighty Night,https://www.booking.com/hotel/hr/nighty-night-zagreb.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=88444702_330978672_1_0_0&highlighted_blocks=88444702_330978672_1_0_0&matching_block_id=88444702_330978672_1_0_0&sr_pri_blocks=88444702_330978672_1_0_0__6000&from=searchresults&map=1,Zagreb,"1,9 km du centre","9,4",Fabuleux  ,Hébergement géré par un particulier,Plus que 1 à ce prix sur notre site,183 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 1 cuisine • 30m²,€ 60
Chambre Lits Jumeaux - Rue Petrinjska,https://cf.bstatic.com/xdata/images/hotel/square600/351473665.webp?k=8e446ae7fb7a83803b818dabf147aa906a2ac1ced49ec6c5180d479abf181542&o=,Irundo Downtown Apartments,https://www.booking.com/hotel/hr/zig-zag-apartments.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=34507318_285701513_2_0_0&highlighted_blocks=34507318_285701513_2_0_0&matching_block_id=34507318_285701513_2_0_0&sr_pri_blocks=34507318_285701513_2_0_0__6160&from=searchresults&map=1,"Lower Town, Zagreb",300 m du centre,"8,2",Très bien ,2 lits simples,Plus que 2 hébergements à ce prix sur notre site,1 502 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 62
Studio,https://cf.bstatic.com/xdata/images/hotel/square600/274692890.webp?k=32404f246eb1c912b32d36d97973cee4dce83a7edb958b5ccadfe3a8c199354e&o=,Apartments Mateo,https://www.booking.com/hotel/hr/apartmani-mateo-zagreb.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-101579&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=6dd24c3ce1e101cf&srepoch=1698922237&all_sr_blocks=686313101_279077579_1_0_0&highlighted_blocks=686313101_279077579_1_0_0&matching_block_id=686313101_279077579_1_0_0&sr_pri_blocks=686313101_279077579_1_0_0__4455&from=searchresults&map=1,"Maksimir, Zagreb","2,6 km du centre","9,5",Exceptionnel ,2 lits simples,Plus que 2 à ce prix sur notre site,352 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 1 cuisine • 42m²,€ 45
