Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/43276662.webp?k=97655a4f71b60729492a3b345352b188f1205039e75e54fcdbf099eb34792200&o=,Ankara Royal Hotel,https://www.booking.com/hotel/tr/ankara-royal.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=39284702_86012269_0_1_0&highlighted_blocks=39284702_86012269_0_1_0&matching_block_id=39284702_86012269_0_1_0&sr_pri_blocks=39284702_86012269_0_1_0__5510&from=searchresults&map=1,"Kavaklidere, Ankara","0,7 km du centre","8,1",Très bien ,1 lit simple,,198 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 55
Chambre Lits Jumeaux Standard,https://cf.bstatic.com/xdata/images/hotel/square600/164058339.webp?k=b74cac191f78cf7b7d25d00d585391cbeb38c92b80023ffecffd88db16639f58&o=,Güvenay Business Hotel,https://www.booking.com/hotel/tr/guvenay-business.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928303&all_sr_blocks=360724305_118667068_1_1_0&highlighted_blocks=360724305_118667068_1_1_0&matching_block_id=360724305_118667068_1_1_0&sr_pri_blocks=360724305_118667068_1_1_0__7336&from_sustainable_property_sr=1&from=searchresults&map=1,"Maltepe, Ankara","2,5 km du centre","8,4",Très bien ,2 lits simples,,565 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 73
Appartement - Vue sur Jardin,https://cf.bstatic.com/xdata/images/hotel/square600/142574971.webp?k=516cc1a912107c5525e2f32f817283e179709eef20638f5ac4a6d7dec9d51bc9&o=,ADEN APART,https://www.booking.com/hotel/tr/aden-apart-cankaya.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928315&all_sr_blocks=321651802_129056726_0_0_0&highlighted_blocks=321651802_129056726_0_0_0&matching_block_id=321651802_129056726_0_0_0&sr_pri_blocks=321651802_129056726_0_0_0__8900&from=searchresults&map=1,Ankara,"5,5 km du centre","9,2",Fabuleux  ,Hébergement géré par un particulier,Plus que 2 à ce prix sur notre site,36 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 89
Chambre Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/265352149.webp?k=ca4a8e82f4df556b397be2c523343a62d7d7d3103cea01635f33161dca9e1af4&o=,Point Hotel Ankara,https://www.booking.com/hotel/tr/point-ankara.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928315&all_sr_blocks=209025401_95723153_1_2_0&highlighted_blocks=209025401_95723153_1_2_0&matching_block_id=209025401_95723153_1_2_0&sr_pri_blocks=209025401_95723153_1_2_0__17550&from=searchresults&map=1,Ankara,4 km du centre,"9,2",Fabuleux  ,1 grand lit double,Plus que 5 hébergements à ce prix sur notre site,507 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 175
Chambre Double ou Lits Jumeaux Standard,https://cf.bstatic.com/xdata/images/hotel/square600/164564707.webp?k=ef852e0ef29a6c401722c38f44eb24ffbc178c7afb6040b589cf23b26f453e29&o=,Atakosk Group Hotels,https://www.booking.com/hotel/tr/atakosk-group-hotels.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928315&all_sr_blocks=152858903_176554065_1_1_0&highlighted_blocks=152858903_176554065_1_1_0&matching_block_id=152858903_176554065_1_1_0&sr_pri_blocks=152858903_176554065_1_1_0__12564&from_sustainable_property_sr=1&from=searchresults&map=1,Ankara,"3,4 km du centre","7,8",Bien  ,Plusieurs types de lits,,101 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 126
Chambre Double Standard,https://cf.bstatic.com/xdata/images/hotel/square600/177209928.webp?k=ab65ac09a5b495ca9e35373bc9a8eafa9d79d6ce33192b771cba87054e5534e5&o=,The Green Park Ankara,https://www.booking.com/hotel/tr/the-green-park-hotel-ankara.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928315&all_sr_blocks=131190711_121005056_1_34_0&highlighted_blocks=131190711_121005056_1_34_0&matching_block_id=131190711_121005056_1_34_0&sr_pri_blocks=131190711_121005056_1_34_0__53836&from_sustainable_property_sr=1&from=searchresults&map=1,Ankara,"3,5 km du centre","7,8",Bien  ,"2 lits (1 lit double, 1 canapé-lit)",,976 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 lit double, 1 canapé-lit)",€ 538
Chambre Lit King-Size Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/27561204.webp?k=0b94d22e72df92ebc0c6a044a1e1825dbf66f22fb0aafc858a509c00d8c9f38d&o=,Atli Hotel Ankara,https://www.booking.com/hotel/tr/ankara-atli.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928315&all_sr_blocks=91138403_88802815_0_2_0&highlighted_blocks=91138403_88802815_0_2_0&matching_block_id=91138403_88802815_0_2_0&sr_pri_blocks=91138403_88802815_0_2_0__21150&from_sustainable_property_sr=1&from=searchresults&map=1,Ankara,"5,7 km du centre","9,1",Fabuleux  ,1 très grand lit double,Plus que 1 hébergement à ce prix sur notre site,73 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 211
Suite Penthouse,https://cf.bstatic.com/xdata/images/hotel/square600/34994729.webp?k=9c997b61ffae4204875c332bd4deb44f5451012861ab039cc7802b11203cf3e3&o=,Warwick Ankara,https://www.booking.com/hotel/tr/mona.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928315&all_sr_blocks=59839905_381345762_1_2_0&highlighted_blocks=59839905_381345762_1_2_0&matching_block_id=59839905_381345762_1_2_0&sr_pri_blocks=59839905_381345762_1_2_0__23280&from_sustainable_property_sr=1&from=searchresults&map=1,"Kavaklidere, Ankara","1,6 km du centre","8,5",Très bien ,1 très grand lit double,Plus que 1 à ce prix sur notre site,125 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,"€ 388€ 233
-40 %"
Chambre Simple Standard,https://cf.bstatic.com/xdata/images/hotel/square600/290145117.webp?k=7389891894832f783d4971b1951ed110b172eb70e8d5f96538a23289d61792e8&o=,Ostimpark Business Hotel,https://www.booking.com/hotel/tr/ostadegm-park.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928315&all_sr_blocks=58958102_95533099_0_0_0&highlighted_blocks=58958102_95533099_0_0_0&matching_block_id=58958102_95533099_0_0_0&sr_pri_blocks=58958102_95533099_0_0_0__8500&from=searchresults&map=1,Ankara,"11,3 km du centre","7,4",Bien  ,1 lit simple,,54 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 85
Chambre Double Standard,https://cf.bstatic.com/xdata/images/hotel/square600/13001270.webp?k=62cc0015b46ffc935281496f59b2f953f79bb24f7795558e743b2463c8dbc823&o=,Demora Hotel,https://www.booking.com/hotel/tr/demora.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-735338&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=20ce5815363a0196&srepoch=1698928315&all_sr_blocks=43087209_88802767_1_1_0&highlighted_blocks=43087209_88802767_1_1_0&matching_block_id=43087209_88802767_1_1_0&sr_pri_blocks=43087209_88802767_1_1_0__6750&from_sustainable_property_sr=1&from=searchresults&map=1,"Kavaklidere, Ankara","0,7 km du centre","8,5",Très bien ,1 lit double,,462 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 68
