Titre,Avis,Type,Price
130. Restaurant eels,462 avis,"Française, Européenne",€€€€
131. Grains Nobles et Plus,520 avis,"Française, Européenne",€€-€€€
132. Terronia,161 avis,"Italienne, Méditerranéenne",€€-€€€
133. Le Sergent Recruteur,170 avis,"Française, Européenne",€€€€
134. Desvouges,361 avis,Brasserie gastronomique,€€-€€€
135. Le Gabriel,722 avis,"Française, Européenne",€€€€
136. Oinari,158 avis,"Japonaise, Saine",€€-€€€
137. Le Cherine,431 avis,"Libanaise, Méditerranéenne",€€-€€€
138. Restaurant Biscotte,243 avis,Française,€€-€€€
139. Frog & Rosbif,656 avis,"Bar à bières, Bar",€€-€€€
140. La Réserve des Initiés,301 avis,"Française, Diner",€€-€€€
141. L'Annexe,862 avis,€€-€€€,Menu
142. La Crète,1 547 avis,"Grecque, Saine",€€-€€€
143. India StreEAT,260 avis,"Indienne, Saine",€€-€€€
144. Le Florimond,1 160 avis,"Française, Européenne",€€-€€€
145. GRUPPOMIMO - Paris 2,718 avis,Italienne,€€-€€€
146. L'Atelier Saisonnier,807 avis,"Française, Saine",€€-€€€
147. The Frog Revolution,770 avis,"Américaine, Bar à bières",€€-€€€
148. Tadam Paris,215 avis,Française,€€-€€€
149. Johana's FISH & CHIPS,360 avis,"Française, Fruits de mer et poisson",€
150. Mayfair Garden,1 165 avis,"Indienne, Moderne",€€-€€€
151. Chez Abda,468 avis,"Marocaine, Méditerranéenne",€€-€€€
152. Les Freres Bretons,491 avis,"Française, Européenne",€
153. Chantoiseau,133 avis,"Française, Européenne",€€€€
154. Le 217 Brasserie Restaurant,564 avis,"Française, Européenne",€
155. Marclee,568 avis,"Japonaise, Asiatique",€€-€€€
156. Les Passagers de Beyrouth,751 avis,"Libanaise, Méditerranéenne",€€-€€€
157. La Trattoria dell'Isola,842 avis,"Italienne, Pizza",€€-€€€
158. Picotte,187 avis,"Française, Européenne",€€-€€€
159. Bella Georgette,307 avis,"Italienne, Pizza",€
160. Frog Hop House,692 avis,"Américaine, Bar à bières",€€-€€€
161. Buzkashi,286 avis,"Saine, Moyen-Orient",€€-€€€
162. L'Escudella,376 avis,"Française, Saine",€€-€€€
163. Sacrée fleur,3 714 avis,"Française, Steakhouse",€€-€€€
164. La Scène Par Stéphanie Le Quellec,262 avis,"Française, Saine",€€€€
165. Ristorante Al Caratello,1 908 avis,"Italienne, Européenne",€€-€€€
166. Mian Fan,664 avis,"Chinoise, Japonaise",€€-€€€
167. JJ Restaurant,495 avis,"Française, Saine",€€-€€€
168. Flesh Restaurant Canal Saint Martin,962 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
169. L'Himalaya,392 avis,"Indienne, Pakistanaise",€€-€€€
170. L'Aubergeade,1 104 avis,"Française, Européenne",€€-€€€
171. Les Canailles,742 avis,"Française, Européenne",€€-€€€
172. Le Bistrot d'Indochine,452 avis,"Asiatique, Vietnamienne",€€-€€€
173. Restaurant Friends & Family,209 avis,"Française, Européenne",€€-€€€
174. A-TABLE,508 avis,"Saine, Moyen-Orient",€
175. FOODI Jia-Ba-Buay,357 avis,"Asiatique, Taïwanaise",€€-€€€
176. Le Bélisaire,740 avis,Française,€€-€€€
177. Chez Ajia,677 avis,"Asiatique, Saine",€€-€€€
178. Chez Gabrielle,1 114 avis,"Française, Européenne",€€-€€€
179. L'Arôme,425 avis,"Française, Européenne",€€€€
180. Hebe,1 234 avis,"Française, Méditerranéenne",€€-€€€
181. Le Bouclard,359 avis,"Française, Européenne",€€-€€€
182. Bustronome PARIS,270 avis,"Française, Internationale",€€€€
183. Bistro V,1 264 avis,"Française, Internationale",€€-€€€
184. La Bonne Excuse,777 avis,"Française, Européenne",€€€€
185. Restaurant du Palais Royal,551 avis,"Française, Européenne",€€€€
186. Aux Délices du Liban,233 avis,"Libanaise, Méditerranéenne",€€-€€€
187. La Petite Rose des Sables,935 avis,"Française, Européenne",€
188. La Table Du Caviste Bio,195 avis,"Française, Européenne",€€-€€€
189. Figuig,166 avis,"Marocaine, Saine",€€-€€€
190. Bodega Potxolo,289 avis,"Française, Méditerranéenne",€€-€€€
191. Happy Caffe,783 avis,"Française, Café",€
192. RESTAURANT DE LA CORDONNERIE,720 avis,"Française, Européenne",€€-€€€
193. Kei Restaurant,1 100 avis,"Française, Saine",€€€€
194. TRADI,660 avis,"Française, Moderne",€€-€€€
195. L'Hommage,296 avis,"Française, Européenne",€€-€€€
196. Chào bà,278 avis,"Asiatique, Vietnamienne",€€-€€€
197. Les Crêpes de Louis-Marie,290 avis,"Française, Européenne",€
"198. Respiro, Trattoria - Pizzeria",201 avis,"Italienne, Pizza",€€-€€€
199. Le Cinq,2 274 avis,"Française, Européenne",€€€€
200. The Frog and Princess,473 avis,"Bar à bières, Bar",€€-€€€
201. Restaurant La Pie Noir,517 avis,"Française, Européenne",€€-€€€
202. Phebe,315 avis,"Française, Européenne",€€-€€€
203. Au P'tit Zinc,383 avis,Française,€€-€€€
204. Le Sanglier Bleu,820 avis,"Française, Européenne",€€-€€€
205. 24 Le Restaurant,365 avis,"Française, Européenne",€€€€
206. Pages,266 avis,"Française, Européenne",€€€€
207. Pierre Gagnaire,1 031 avis,"Française, Européenne",€€€€
208. L'Acolyte de L'Insolite,403 avis,"Française, Européenne",€€-€€€
209. Le Clos Y,501 avis,"Française, Japonaise",€€€€
210. La Puce,448 avis,"Française, Européenne",€€-€€€
211. Chez Trassoudaine,547 avis,"Française, Européenne",€€-€€€
212. Caramel Sarrasin,346 avis,"Française, Européenne",€€-€€€
213. La Boite Aux Lettres,1 151 avis,"Française, Européenne",€€-€€€
214. Zia,226 avis,"Française, Américaine",€€-€€€
215. Jackpot,221 avis,"Française, Bar",€€-€€€
216. Aux 2 Saveurs,309 avis,Française,€€-€€€
217. La Bossue,497 avis,"Française, Café",€€-€€€
218. Alan Geaam Restautant,226 avis,"Française, Moderne",€€€€
219. Cabane,202 avis,Française,€€-€€€
220. Monterosso,188 avis,Italienne,€€-€€€
221. Le 975,307 avis,"Française, Européenne",€€-€€€
222. Mian Fan,546 avis,"Chinoise, Asiatique",€€-€€€
223. Buddha Restaurant,457 avis,"Indienne, Saine",€€-€€€
224. Il Padrino,315 avis,Italienne,€€-€€€
225. Pop's,641 avis,"Italienne, Française",€€-€€€
226. L'Escale Caraibéenne,195 avis,"Caraïbes, Africaine",€€-€€€
227. Pane olio e pomodoro,489 avis,"Italienne, Méditerranéenne",€€-€€€
228. Flesh Restaurant Pigalle,856 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
229. Juveniles Wine Bar,463 avis,"Française, Européenne",€€-€€€
230. Huîtres et Saumons de Passy,364 avis,"Française, Fruits de mer et poisson",€€-€€€
231. Al Assil,82 avis,"Libanaise, Méditerranéenne",€
232. Virtus,364 avis,"Française, Européenne",€€€€
233. Le Cabanon de la Butte,683 avis,"Française, Européenne",€€-€€€
234. Restaurant de la Tour,609 avis,"Française, Européenne",€€-€€€
235. Sathees,254 avis,"Internationale, Fusion",€€-€€€
236. Le Sâotico,1 163 avis,"Française, Européenne",€€-€€€
237. LaHaut,720 avis,"Française, Européenne",€€€€
238. Arnaud Nicolas,360 avis,"Française, Européenne",€€€€
239. Chez Marcel,931 avis,Française,€€-€€€
240. Cantina Chic,486 avis,"Italienne, Méditerranéenne",€€-€€€
241. Lucette fait des Crepes,410 avis,"Française, Européenne",€
242. La Bécane À Gaston,352 avis,"Française, Européenne",€€-€€€
243. Joe Burger,778 avis,"Américaine, Restauration rapide",€
244. Le Ju',868 avis,"Française, Bar",€€-€€€
245. Santa Carne,966 avis,"Steakhouse, Latino",€€-€€€
246. La Table d'Hami,209 avis,"Asiatique, Coréenne",€€-€€€
247. Les Cuivres,262 avis,"Française, Méditerranéenne",€€-€€€
248. B.Better,75 avis,"Café, Internationale",€€-€€€
249. 46 & 3rd,251 avis,Américaine,€€-€€€
250. Bistrot Côté Seine,474 avis,"Française, Européenne",€€-€€€
251. La Réserve Du Terroir,498 avis,"Française, Bar à vins",€
252. La Ripaille,278 avis,Française,€€-€€€
253. Mobster Diner,712 avis,"Américaine, Restauration rapide",€
254. Le Lamarck,391 avis,"Française, Européenne",€€-€€€
255. Olive & Thym - Par Man'ouché,306 avis,"Libanaise, Méditerranéenne",€
256. Olympe Sports Cafe,259 avis,"Française, Bar",€€-€€€
257. Beccuti Bar,133 avis,"Italienne, Café",€€-€€€
258. Lilane,349 avis,Française,€€-€€€
259. Brutus - Batignolles,273 avis,Française,€€-€€€
260. Eataly Paris Marais,2 662 avis,"Italienne, Pizza",€€-€€€
261. Lorette,219 avis,Française,€€-€€€
262. La Grande Ourse,301 avis,"Française, Européenne",€€-€€€
263. Don Giovanni,476 avis,"Italienne, Méditerranéenne",€€-€€€
264. Lea,321 avis,"Libanaise, Méditerranéenne",€€-€€€
265. BMK Paris-Bamako,209 avis,"Africaine, Café",€€-€€€
266. Sourire Le Restaurant,411 avis,"Française, Européenne",€€€€
267. Bellini,305 avis,Italienne,€€-€€€
268. Le Petit Amalfi,388 avis,"Italienne, Méditerranéenne",€€-€€€
269. Substance,350 avis,"Française, Européenne",€€€€
270. Ze Kitchen Galerie,1 458 avis,"Française, Européenne",€€€€
271. Habesha,225 avis,"Africaine, Éthiopienne",€€-€€€
272. Petite fleur,568 avis,"Française, Européenne",€€-€€€
273. La Pause Libanaise,766 avis,"Libanaise, Méditerranéenne",€
274. Vale&Ale Restaurant Pinseria,121 avis,"Italienne, Pizza",€€-€€€
275. Kitchen Galerie Bis,735 avis,"Française, Européenne",€€€€
276. BAFFO,482 avis,"Italienne, Méditerranéenne",€€-€€€
277. In Bocca al lupo,431 avis,"Italienne, Pizza",€€-€€€
278. La Vie d'Ange,676 avis,"Française, Européenne",€€-€€€
279. Lakshmi Bhavan,283 avis,Indienne,€
280. Loubnane,1 377 avis,"Libanaise, Saine",€€-€€€
281. Tonkatsu Tombo,242 avis,"Japonaise, Asiatique",€€-€€€
282. Nirvana Inde,317 avis,"Indienne, Asiatique",€€-€€€
283. Chez Madeleine,557 avis,"Libanaise, Méditerranéenne",€€-€€€
284. Chez Toinette,1 616 avis,"Française, Européenne",€€-€€€
285. Trois Crabes,314 avis,"Asiatique, Vietnamienne",€€-€€€
286. A modo mio,308 avis,"Italienne, Pizza",€€-€€€
287. LOCO,639 avis,"Steakhouse, Latino",€€-€€€
288. L'Accolade,222 avis,"Française, Européenne",€€-€€€
289. Café Blanche,153 avis,"Française, Européenne",€€-€€€
290. Rajpoot,316 avis,"Indienne, Pakistanaise",€€-€€€
291. LE LOUIS,1 049 avis,"Française, Européenne",€€-€€€
292. Le Vin Coeur,740 avis,"Française, Bar",€€-€€€
