Titre,Avis,Type,Price,Ville
 Blue Pepper Restaurant And Candlelight Cruises,1 028 avis,"Asiatique, Indonésienne",€€€€,Amsterdam
 Ivy & Bros,1 106 avis,Saine,€,Amsterdam
 Bussia,1 225 avis,"Italienne, Européenne",€€€€,Amsterdam
 Sefa Grill Restaurant,358 avis,"Turque, Grillades",€,Amsterdam
 Trattoria Buoni Amici,407 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Yamazato Restaurant,1 625 avis,"Japonaise, Sushi",€€€€,Amsterdam
 Toastable Koningsplein,1 101 avis,Européenne,€,Amsterdam
 Hap-Hmm,795 avis,"Hollandaise, Européenne",€,Amsterdam
 van Kerkwijk,2 627 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Taj Indian,1 734 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Tasty Asia,300 avis,"Chinoise, Asiatique",€,Amsterdam
 Jottum,280 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Amsterdam
 Il Vecchio Pacioccone,325 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Il Sogno Amsterdam,381 avis,"Italienne, Pizza",€,Amsterdam
 Shah-jahan,308 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 MAX Amsterdam,2 467 avis,Indonésienne,€€-€€€,Amsterdam
 La Maschera Lillotatini,670 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Restaurant GUTS,713 avis,"Internationale, Européenne",€€-€€€,Amsterdam
 Coffeeshop Happy Feelings,157 avis,,,Amsterdam
" DenC, Dik en Cunningham",237 avis,Française,€€-€€€,Amsterdam
 d&a hummus bistro,783 avis,"Libanaise, Méditerranéenne",€€-€€€,Amsterdam
 Cafe Kuijper,220 avis,"Bar, Café",€,Amsterdam
 Pianeta Terra,410 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Singel 101 Restaurant,413 avis,"Européenne, Moderne",€€-€€€,Amsterdam
 Omelegg - City Centre,2 493 avis,"Hollandaise, Café",€,Amsterdam
 Restaurant Flore,793 avis,"Internationale, Européenne",€€€€,Amsterdam
 Van Beeren,380 avis,"Bar, Européenne",€€-€€€,Amsterdam
 Tacos & Tequila,664 avis,"Mexicaine, Latino",€€-€€€,Amsterdam
 Roberto's Restaurant,551 avis,"Italienne, Méditerranéenne",€€€€,Amsterdam
 Ashoka - Kinkerstraat,194 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Cocotte,303 avis,"Française, Café",€€-€€€,Amsterdam
 Snob Burger,253 avis,"Bar, Européenne",€€-€€€,Amsterdam
 MOAK Pancakes - WEST (Formerly MOOK),1 123 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Restaurant Mont Blanc,62 avis,"Française, Européenne",€€€€,Amsterdam
 Broodje Bert,868 avis,"Café, Européenne",€,Amsterdam
 Serre,545 avis,"Fruits de mer et poisson, Internationale",€€-€€€,Amsterdam
 Ristorante Italia Oggi,1 090 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Restaurant Semai,108 avis,"Africaine, Éthiopienne",€€-€€€,Amsterdam
 Wolf Atelier,583 avis,"Hollandaise, Européenne",€€€€,Amsterdam
 JUN Indonesian Cuisine,647 avis,"Asiatique, Indonésienne",€€-€€€,Amsterdam
 Eetcafe Singel 404,671 avis,"Hollandaise, Café",€,Amsterdam
 The Chicken Bar,1 215 avis,"Européenne, Grillades",€€-€€€,Amsterdam
 Restaurant Choux,394 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Onze Zaak Amsterdam,104 avis,"Italienne, Européenne",€€-€€€,Amsterdam
 The White Room,280 avis,"Internationale, Européenne",€€€€,Amsterdam
 Kinnaree Thai Cuisine,620 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 De Zotte,389 avis,"Belge, Hollandaise",€€-€€€,Amsterdam
 De Reiger,706 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 The Lobby Nesplein Restaurant & Bar,1 170 avis,Hollandaise,€€-€€€,Amsterdam
 Visaandeschelde,713 avis,"Hollandaise, Fruits de mer et poisson",€€€€,Amsterdam
 Dignita Vondelpark,414 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Stoop & Stoop Eetcafe,698 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Thai Phutakun,663 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 Eatmosfera Ristorante,1 503 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Seasons Restaurant,1 627 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 Latei,355 avis,"Café, Européenne",€,Amsterdam
 Koh-i-Noor,1 933 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Bakers & Roasters,1 730 avis,"Café, Européenne",€€-€€€,Amsterdam
