Titre,Avis,Type,Price
118. Il Sogno Amsterdam,381 avis,"Italienne, Pizza",€
119. Shah-jahan,308 avis,"Indienne, Asiatique",€€-€€€
120. MAX Amsterdam,2 467 avis,Indonésienne,€€-€€€
121. La Maschera Lillotatini,670 avis,"Italienne, Méditerranéenne",€€-€€€
122. Restaurant GUTS,713 avis,"Internationale, Européenne",€€-€€€
123. Coffeeshop Happy Feelings,157 avis,,
"124. DenC, Dik en Cunningham",237 avis,Française,€€-€€€
125. d&a hummus bistro,783 avis,"Libanaise, Méditerranéenne",€€-€€€
126. Cafe Kuijper,220 avis,"Bar, Café",€
127. Pianeta Terra,410 avis,"Italienne, Méditerranéenne",€€-€€€
128. Singel 101 Restaurant,413 avis,"Européenne, Moderne",€€-€€€
129. Omelegg - City Centre,2 493 avis,"Hollandaise, Café",€
130. Restaurant Flore,793 avis,"Internationale, Européenne",€€€€
131. Van Beeren,380 avis,"Bar, Européenne",€€-€€€
132. Tacos & Tequila,664 avis,"Mexicaine, Latino",€€-€€€
133. Roberto's Restaurant,551 avis,"Italienne, Méditerranéenne",€€€€
134. Ashoka - Kinkerstraat,194 avis,"Indienne, Asiatique",€€-€€€
135. Cocotte,303 avis,"Française, Café",€€-€€€
136. Snob Burger,253 avis,"Bar, Européenne",€€-€€€
137. MOAK Pancakes - WEST (Formerly MOOK),1 123 avis,"Hollandaise, Européenne",€€-€€€
138. Restaurant Mont Blanc,62 avis,"Française, Européenne",€€€€
139. Broodje Bert,868 avis,"Café, Européenne",€
140. Serre,545 avis,"Fruits de mer et poisson, Internationale",€€-€€€
141. Ristorante Italia Oggi,1 090 avis,"Italienne, Pizza",€€-€€€
142. Restaurant Semai,108 avis,"Africaine, Éthiopienne",€€-€€€
143. Wolf Atelier,583 avis,"Hollandaise, Européenne",€€€€
144. JUN Indonesian Cuisine,647 avis,"Asiatique, Indonésienne",€€-€€€
145. Eetcafe Singel 404,671 avis,"Hollandaise, Café",€
146. The Chicken Bar,1 215 avis,"Européenne, Grillades",€€-€€€
147. Restaurant Choux,394 avis,"Hollandaise, Européenne",€€-€€€
148. Onze Zaak Amsterdam,104 avis,"Italienne, Européenne",€€-€€€
149. The White Room,280 avis,"Internationale, Européenne",€€€€
150. Kinnaree Thai Cuisine,620 avis,"Asiatique, Thaï",€€-€€€
151. De Zotte,389 avis,"Belge, Hollandaise",€€-€€€
152. De Reiger,706 avis,"Hollandaise, Bar",€€-€€€
153. The Lobby Nesplein Restaurant & Bar,1 170 avis,Hollandaise,€€-€€€
154. Visaandeschelde,713 avis,"Hollandaise, Fruits de mer et poisson",€€€€
155. Dignita Vondelpark,414 avis,"Hollandaise, Café",€€-€€€
156. Stoop & Stoop Eetcafe,698 avis,"Hollandaise, Bar",€€-€€€
157. Thai Phutakun,663 avis,"Asiatique, Thaï",€€-€€€
158. Eatmosfera Ristorante,1 503 avis,"Italienne, Pizza",€€-€€€
159. Seasons Restaurant,1 627 avis,"Hollandaise, Internationale",€€-€€€
160. Latei,355 avis,"Café, Européenne",€
161. Koh-i-Noor,1 933 avis,"Indienne, Asiatique",€€-€€€
162. Bakers & Roasters,1 730 avis,"Café, Européenne",€€-€€€
163. Restaurant Sinne,343 avis,Européenne,€€€€
164. La Zoccola del Pacioccone Pizzeria,2 302 avis,"Italienne, Pizza",€€-€€€
165. Van Speyk,1 467 avis,"Hollandaise, Européenne",€€-€€€
166. Gollem's Proeflokaal,475 avis,"Belge, Hollandaise",€€-€€€
167. Rakang,552 avis,"Asiatique, Thaï",€€-€€€
168. Jacketz,724 avis,"Hollandaise, Européenne",€
169. Jaspers,216 avis,"Française, Hollandaise",€€€€
170. Mangia Pizza,381 avis,"Italienne, Pizza",€€-€€€
171. Sugo Amsterdam,579 avis,"Italienne, Pizza",€
172. Casa Nostra,636 avis,Italienne,€€-€€€
173. New Season,303 avis,"Asiatique, Cantonaise",€€-€€€
174. Pasta e Basta,1 196 avis,"Italienne, Internationale",€€-€€€
175. Carstens Brasserie Amsterdam,149 avis,"Hollandaise, Européenne",€€-€€€
176. VINNIES at Haarlemmerstraat (city center),339 avis,"Café, Internationale",€€-€€€
177. Kartika,1 407 avis,"Asiatique, Indonésienne",€€-€€€
178. FuLu Mandarijn Amsterdam,2 462 avis,"Chinoise, Asiatique",€€-€€€
179. De Waaghals,368 avis,"Hollandaise, Européenne",€€-€€€
180. Cafe Piazza,1 018 avis,"Italienne, Pizza",€€-€€€
181. Hemelse Modder,815 avis,"Hollandaise, Européenne",€€-€€€
182. Mr. Sam Asian Bistro,264 avis,"Sushi, Asiatique",€€-€€€
183. Restaurant Daalder,1 577 avis,"Hollandaise, Internationale",€€€€
184. Shiraz Jardin des Vins,139 avis,"Internationale, Méditerranéenne",€€€€
185. Restaurant Piccolo Mondo Amsterdam,539 avis,"Italienne, Pizza",€€-€€€
186. Dabka,567 avis,"Libanaise, Méditerranéenne",€€-€€€
187. Pind Punjabi Indian Restaurant,224 avis,"Indienne, Asiatique",€€-€€€
188. Paskamer,195 avis,"Internationale, Méditerranéenne",€€-€€€
189. Formosa Argentina,399 avis,"Steakhouse, Latino",€€-€€€
190. Cafe Stevens,300 avis,"Hollandaise, Bar",€€-€€€
191. Het Karbeel,1 224 avis,"Hollandaise, Suisse",€€-€€€
192. Mossel en Gin,634 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
193. Saint Morris Argentijns Restaurant,430 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
194. Amigo Restaurant,614 avis,"Steakhouse, Internationale",€€-€€€
195. Levant,240 avis,"Méditerranéenne, Européenne",€€-€€€
196. Locals,274 avis,"Café, Internationale",€€-€€€
197. MOAK Pancakes - CITY CENTER (Formerly MOOK),425 avis,"Américaine, Café",€€-€€€
198. Samrat Indian Restaurant,232 avis,"Indienne, Asiatique",€€-€€€
199. Prins Heerlijk,644 avis,"Hollandaise, Café",€
200. Yu Family Kitchen,419 avis,"Chinoise, Restauration rapide",€
201. Moeders,2 789 avis,"Hollandaise, Internationale",€€-€€€
202. Thaise Snackbar Bird,649 avis,"Asiatique, Thaï",€
203. Little Collins,432 avis,"Café, Internationale",€€-€€€
204. La Casa Di Michael,519 avis,"Italienne, Bar",€€-€€€
205. Il Pacioccone,1 736 avis,"Italienne, Méditerranéenne",€€-€€€
206. Excalibur Café,334 avis,€,Menu
207. TER Restaurant Steakhouse,572 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
208. Oresti's taverna,546 avis,"Méditerranéenne, Espagnole",€€-€€€
209. Van Gogh Museum Cafe Le Tambourin,1 177 avis,"Café, Européenne",€€-€€€
210. Amigo Argentijns Restaurant,578 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
211. Little Thai Prince,502 avis,"Asiatique, Thaï",€€-€€€
212. Cafe Smalle,548 avis,"Hollandaise, Bar",€€-€€€
213. UMAMI by Han Amsterdam,302 avis,"Française, Japonaise",€€-€€€
214. Bulls and Dogs (VAN WOUSTRAAT),498 avis,"Américaine, Cuisine de rue (street food)",€
215. Verona Ristorante Italiano,636 avis,"Italienne, Pizza",€€-€€€
216. Humphrey's Amsterdam,1 793 avis,"Hollandaise, Internationale",€€-€€€
217. De Blauwe Hollander,1 660 avis,"Hollandaise, Internationale",€€-€€€
218. Ron Gastrobar Indonesia,464 avis,"Fruits de mer et poisson, Asiatique",€€-€€€
219. De Belhamel,1 584 avis,"Française, Hollandaise",€€€€
220. A-Fusion,474 avis,"Chinoise, Japonaise",€€-€€€
221. Croque Madame Gluten Free Food,170 avis,"Internationale, Européenne",€€-€€€
222. Cannibale Royale Ruysdaelkade,369 avis,"Américaine, Steakhouse",€€-€€€
223. Pressroom,375 avis,"Française, Bar",€€-€€€
224. Parallel Amsterdam,209 avis,"Méditerranéenne, Européenne",€€-€€€
225. Drovers Dog,413 avis,"Bar, Australienne",€€-€€€
226. La Casona,252 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
227. Cannibale Royale Lange Niezel,416 avis,"Américaine, Steakhouse",€€-€€€
228. Lucius Visrestaurant,1 613 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
229. El Vino,789 avis,"Mexicaine, Latino",€€-€€€
230. De Bakkerswinkel Amsterdam Centre,571 avis,"Hollandaise, Café",€€-€€€
231. Pizzeria Fuoco Vivo,497 avis,"Italienne, Pizza",€€-€€€
232. Cafe-Restaurant de Bazel,158 avis,"Café, Internationale",€€-€€€
233. Barney's Coffeeshop,656 avis,€€-€€€,Menu
234. Al Bacaro,404 avis,"Italienne, Méditerranéenne",€€-€€€
235. Lars Amsterdam,131 avis,"Hollandaise, Fruits de mer et poisson",€€€€
236. Tomo Sushi,430 avis,"Japonaise, Sushi",€€-€€€
237. Cafe de Klos,2 231 avis,€€-€€€,
238. Cannibale Royale,1 742 avis,"Américaine, Steakhouse",€€-€€€
239. Ponte Vecchio,466 avis,Italienne,€€-€€€
240. Ibericus Amsterdam,267 avis,"Méditerranéenne, Européenne",€€-€€€
241. ROYAL98,652 avis,Italienne,€€-€€€
242. restaurant WILDE ZWIJNEN,572 avis,"Hollandaise, Européenne",€€-€€€
243. Bistrot Neuf,786 avis,"Française, Européenne",€€-€€€
244. Molly Malone's Irish Pub,917 avis,"Irlandaise, Bar",€€-€€€
245. De Voetangel,260 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
246. De Pizzabakkers Haarlemmerdijk,312 avis,"Italienne, Pizza",€€-€€€
247. Kessens,240 avis,"Café, Internationale",€€-€€€
248. Restaurant Sita,104 avis,"Indienne, Asiatique",€€-€€€
249. Bowery Restaurant,398 avis,"Hollandaise, Internationale",€€-€€€
250. Sluizer Restaurants,588 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
251. Bar Valdi,50 avis,"Bar, Café",€€-€€€
252. Incanto,630 avis,"Italienne, Européenne",€€€€
253. Restaurant Lastage,382 avis,"Française, Hollandaise",€€€€
254. Bolenius,309 avis,"Hollandaise, Européenne",€€€€
255. Venus & Adonis,780 avis,"Française, Steakhouse",€€-€€€
256. Le Restaurant Amsterdam,175 avis,"Française, Fruits de mer et poisson",€€€€
257. Restaurant BREDA,592 avis,"Française, Internationale",€€-€€€
258. De Duvel,335 avis,"Hollandaise, Bar",€€-€€€
259. Barbeque Castell,910 avis,"Steakhouse, Bar",€€-€€€
260. Rijsel,291 avis,"Française, Européenne",€€-€€€
261. Broodje Popov,63 avis,"Américaine, Café",€
262. De Carrousel Pannenkoeken,642 avis,"Hollandaise, Européenne",€€-€€€
263. Ko Chang Thai Restaurant,240 avis,"Asiatique, Thaï",€€-€€€
264. Proeflokaal A. van Wees,537 avis,"Hollandaise, Bar",€€-€€€
265. Lunchcafe Waterloo,219 avis,"Hollandaise, Bar",€
266. Jansz.,875 avis,Européenne,€€-€€€
