Titre,Avis,Type,Price
119. Evin Pizza Pasta,361 avis,"Italienne, Pizza",€
120. Hugos,333 avis,"Européenne, Europe centrale",€€€€
121. Rutz Restaurant - Weinbar,723 avis,"Allemande, Européenne",€€€€
122. Steakhouse ASADOR,2 073 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
123. Trattoria La Cenetta,167 avis,"Italienne, Pizza",€€-€€€
124. Nuovo Mario,651 avis,"Italienne, Méditerranéenne",€€-€€€
125. Soy,438 avis,"Asiatique, Thaï",€€-€€€
126. Cocolo Ramen X-Berg,367 avis,"Japonaise, Soupes",€€-€€€
127. Lieu in Berlin,490 avis,"Asiatique, Vietnamienne",€€-€€€
128. ZEN Restaurant,674 avis,"Sushi, Asiatique",€€-€€€
129. Pantry,721 avis,"Moderne, Fusion",€€-€€€
130. Kopps,614 avis,Saine,€€-€€€
131. KaDeWe Feinschmeckerbars,1 847 avis,"Française, Allemande",€€-€€€
132. Ristorante II Sorriso,622 avis,"Italienne, Méditerranéenne",€€€€
133. Die Gute Stube,148 avis,Allemande,€
134. Joseph Roth Diele,625 avis,"Allemande, Européenne",€
135. Charlotte & Fritz,721 avis,Européenne,€€€€
136. Gaffel Haus Berlin - Das Kölsche Konsulat,654 avis,"Allemande, Bar à bières",€€-€€€
137. Fit & Green By Adriana,90 avis,"Internationale, Grillades",€€-€€€
138. Villa Rodizio,1 481 avis,"Brésilienne, Grillades",€€-€€€
139. Entrecote,1 133 avis,"Française, Européenne",€€€€
140. Rotisserie Weingrün,1 147 avis,"Allemande, Européenne",€€-€€€
141. House of Small Wonder,962 avis,"Café, Saine",€€-€€€
142. BLOCK HOUSE Friedrichstraße,1 864 avis,"Américaine, Steakhouse",€€-€€€
143. Best Curry,161 avis,"Allemande, Restauration rapide",€
144. Dicke Wirtin,2 990 avis,"Allemande, Bar",€€-€€€
145. Boulevard Friedrichstrasse,983 avis,"Allemande, Diner",€€-€€€
146. Arema Restaurant & Cafe,368 avis,Allemande,€€-€€€
147. Royals & Rice Berlin,301 avis,"Japonaise, Sushi",€€-€€€
148. Xantener Eck,570 avis,"Allemande, Bar",€€-€€€
149. Mezze by MontRaw,52 avis,"Méditerranéenne, Saine",€€-€€€
150. Vipan,154 avis,Indienne,€€-€€€
151. PATIO Restaurant am Wasser,394 avis,€€-€€€,Menu
152. Aida,340 avis,"Italienne, Pizza",€€-€€€
153. Asia Land,250 avis,"Japonaise, Sushi",€
154. Papa Pane di Sorrento,873 avis,"Italienne, Pizza",€€-€€€
155. Bejte Ethiopian Restaurant,310 avis,"Africaine, Diner",€€-€€€
156. ZENKICHI,296 avis,"Japonaise, Asiatique",€€€€
157. Il Punto,317 avis,"Italienne, Méditerranéenne",€€€€
158. BLOCK HOUSE Am Adenauerplatz,472 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
159. The Big Dog Berlin,281 avis,Restauration rapide,€
160. Seaside,650 avis,"Bar, Fruits de mer et poisson",€€-€€€
161. Sophieneck,968 avis,"Allemande, Bar",€€-€€€
162. Burgeramt,740 avis,"Américaine, Bar",€
163. IIMORI Vegan Ramen,45 avis,"Japonaise, Asiatique",€€-€€€
164. Transit Restaurant,1 251 avis,"Asiatique, Thaï",€
165. Babel,530 avis,"Libanaise, Méditerranéenne",€
166. La Vigna,166 avis,"Italienne, Méditerranéenne",€€-€€€
167. Restaurant Elefant,698 avis,"Allemande, Européenne",€€-€€€
168. BLOCK HOUSE Am Alexanderplatz,2 530 avis,"Américaine, Steakhouse",€€-€€€
169. Schwarzes Café,748 avis,"Allemande, Café",€€-€€€
170. Shiso Burger,1 147 avis,"Américaine, Restauration rapide",€
171. Ming Dynastie Europa Center,338 avis,"Chinoise, Asiatique",€€-€€€
172. Stadtklause,919 avis,"Allemande, Bar",€
173. Tex Mex Cantina,453 avis,"Mexicaine, Latino",€€-€€€
174. AMRIT - Potsdamer Platz,1 360 avis,Indienne,€€-€€€
175. Oxymoron,742 avis,"Européenne, Europe centrale",€€-€€€
176. Café-Crêperie Melt,261 avis,"Française, Café",€
177. Bocca di Bacco,1 777 avis,"Italienne, Méditerranéenne",€€€€
178. Sagrantino,905 avis,"Italienne, Méditerranéenne",€€-€€€
179. Dudu 31,498 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
180. Prater Gaststätte,1 029 avis,"Allemande, Moderne",€
181. Trattoria La Stazione,65 avis,"Italienne, Pizza",€
182. Restaurant Le Faubourg,410 avis,"Française, Internationale",€€€€
183. YADA YADA breakfast club,137 avis,"Café, Européenne",€€-€€€
184. Yumcha Heroes,443 avis,"Chinoise, Asiatique",€€-€€€
185. NEUN & FÜNFZIG Restaurant,51 avis,"Française, Allemande",€€€€
186. Tulus Lotrek,172 avis,"Européenne, Europe centrale",€€€€
187. Samowar,230 avis,"Européenne, Russe",€€-€€€
188. Cana Restaurant,291 avis,"Libanaise, Méditerranéenne",€€-€€€
189. Maximilians Berlin,3 278 avis,"Allemande, Europe centrale",€€-€€€
190. Kimchi Princess,671 avis,"Barbecue/Grillades, Asiatique",€€-€€€
191. Pho Nguyen,221 avis,"Asiatique, Vietnamienne",€
192. Weingalerie und Cafe NÖ!,290 avis,"Européenne, Bar à vins",€€-€€€
193. Restaurant Acht & Dreissig,328 avis,"Allemande, Diner",€€-€€€
194. GaYaYa,173 avis,Saine,€
195. Bienvenue chez Inizio,293 avis,"Italienne, Fruits de mer et poisson",€€-€€€
196. YamYam,502 avis,"Asiatique, Coréenne",€
197. Restaurant Feinberg's,508 avis,"Grillades, Diner",€€-€€€
198. Taverna Ousia,278 avis,"Méditerranéenne, Européenne",€€-€€€
199. Las Malvinas Steakhouse,844 avis,"Steakhouse, Argentine",€€-€€€
200. Brlo Brwhouse,501 avis,"Allemande, Bar",€€-€€€
201. Max und Moritz,1 489 avis,"Allemande, Européenne",€€-€€€
202. BAO Vietnamese Cooking,138 avis,"Asiatique, Vietnamienne",€
203. Hopfenreich,187 avis,Pub,€€-€€€
204. Hummus & Friends,708 avis,Israélienne,€€-€€€
205. GOODTIME,918 avis,"Asiatique, Thaï",€€-€€€
206. Brasserie Am Gendarmenmarkt,732 avis,"Française, Allemande",€€-€€€
207. Restaurant-Cafe Ephraim's,404 avis,"Allemande, Européenne",€€-€€€
208. Umami P-Berg,872 avis,"Asiatique, Vietnamienne",€€-€€€
209. VOX Restaurant & Bar,549 avis,"Japonaise, Fruits de mer et poisson",€€€€
210. Cafe Einstein Stammhaus,1 154 avis,Café,€€-€€€
211. Katz Orange,1 309 avis,"Allemande, Européenne",€€-€€€
212. Restaurant Zur Nolle,1 090 avis,"Allemande, Européenne",€€-€€€
213. Ngon Restaurant Berlin,269 avis,"Fruits de mer et poisson, Asiatique",€€-€€€
214. Taleh Thai,218 avis,"Asiatique, Thaï",€€-€€€
215. Rutz-Zollhaus,251 avis,"Allemande, Européenne",€€€€
216. The Bird,2 154 avis,"Américaine, Bar",€€-€€€
